id,year,title,abstract,keywords
,2017,한국과 일본의 주거래 은행제도와 금융산업의 향후 - 새로운 지급결제 시스템의 구축을 목표로 -,"본고에서는 우선 오늘날 금융의 원점을 찾는 의미로 오늘에 이르기까지 우리나라의 금융시스템의 큰 특징인 주거래 은행제도를 논의해 보고자 한다. 주거래 은행제가 확립된 배경으로서 (i) 경제개발 시기에 자금이 부족하던 중 은행대출이 큰 영향력을 미쳤던 사실, (ii) 주식 보유에 관한 제도적 및 정책적 요인, (iii) 주주의 주인 의식의 문제로 인한 펀드(주식) 파이낸싱의 발달이 상대적으로 늦은 것 등을 지적하고자 한다.
이어 금융산업 시스템의 주요 구성요소로서 시장참가자인 상업은행, 투자은행(증권사), 펀드의 기능과 변천에 대해서 기술함과 동시에 향후의 주거래 은행의 기능과 방법에 대해서 고찰하기로 한다. 게다가 투자은행에 대하여 금융위기의 원인이 된 부정과 무능 그리고 불투명한 경영형대로 비난 받았던 사실이 있지만 본래의 기능의 필요성은 여전히 불변임을 강조하고자 하며 동시에 은행의 지배력의 방향성에 대해서도 언급하기로 한다.
마지막으로, 우리나라에서 (i) 지속적인 경제성장을 실현하기 위해서는 적극적인 위험을 감수하고 이를 지지하는 금융 시스템이 필요하다는 점, (ii) 경제상황을 효율적으로 작동시키고 상업은행과 투자은행 및 펀드 등이 건전하게 성장하고 금융산업 자체의 효율성, 수익성 향상을 도모하는 것이 필요하다는 점, (iii) 핀테크에 대한 대응도 향후 중요한 과제라는 점 등을 지적하고자 한다.",주거래은행 은행대출 금융산업 상업은행 투자은행 금융위기 핀테크 Mian bank bank loan financial industry commercial bank investment bank financial crisis fintech
,2017,최근 일본의 가상화폐 규제에 관한 법적 연구,"최근 들어, 국가의 전속적 권한으로 인식되어 왔던 법화의 통제권이라는 종래의 관념과 배치되는 하나의 경향이 이어지고 있다. 2017년 12월을 기준으로 대한민국에서는 시간이 경과할수록 최신의 가상화폐인 비트코인에 대한 수요는 지속적으로 증가하고 있다. 법률에 의하여 강제 통용력이 부여되는 법화와는 달리 아직 감독 기구의 통제권이 법률상 미비한 점이 투자에 있어서의 이점으로 작용하고 있기 때문이다. 하지만 그러한 입법적 공백으로 인하여 투기적 거래의 과열, 불법적 거래에의 악용 등의 문제점도 지속적으로 나타나게 되는데, 그에 대처하는 대한민국의 실행은 단발성 행정 조치에 머무르는 실정이다.
그러므로 비트코인을 위시한 가상화폐 열풍이라는 최근의 현상과 관련하여 외국에서는 어떠한 실행을 통하여 규제하는지 살펴보아야 할 필요성이 존재한다. 특히, 일본에서는 2017년 4월부터 기존의 자금결제에 관한 법률 개정안이 시행됨으로써 포괄적 의미에서 가상화폐에 대한 법적 규제가 실시되기 시작하였음은 주목할 만하다. 일본에서의 법적 실행은 관련 분야의 향후 관리에 있어서 유의미한 시사점을 제공할 것으로 기대된다. 그리고 금지주의에 기초한 접근이 아니라 장기적 관점에서 이를 수용하고 제도화함으로써 동시에 적절한 규제를 도모할 수 있어야 한다고 생각된다.",가상화폐 비트코인 입법적 공백 외국의 규제 일본의 법제 Virtual currency Bitcoin legal vacuum foreign practices on the regulation legal practice in Japan
,2017,현대적인 금융업의 기본 방향으로서 고객가치를 창조하는 금융업의 확대 - 일본의 경험을 중심으로 고찰,"기술진보나 시장과 규제환경 변화의 가속화, 저출산 고령화 등에 따른 금융사업의 경영환경은 앞으로 보다 더 큰 변화가 예상된다. 금융기관이 그 환경변화 속에서 어떤 분야의 사업의 장래성을 인정하고 육성하고 나갈지는 금융기관 자신뿐 아니라 우리나라의 성장력을 좌우하는 기초가 되는 일이다. 또 거대한 시스템 투자를 필요로 하는 산업이 된 금융산업의 세계에서는 어떤 분야에 전략적 투자를 위한 어떤 새로운 서비스를 제공할지는 사활이 걸린 중요한 과제이다. 그래서 환경변화를 다각적 시야에서 전망하고 선견지명으로 고객서비스에 앞서 경제 활성화를 촉진하는 활동도 적극 추진할 필요가 있다.
ICT 기술진보 속에서는 금융업의 다른 업태와 연계 가능성도 지금까지와는 다른 양상을 보일 가능성이 크다. 특히 개인 및 기업의 금융자산을 금융기관이 얼마나 효율적으로 운용할지는 미래에 큰 영향을 줄 것으로 생각한다. 예를 들어 최근 스마트 폰 등에서 이용되는 '가계부 앱(App)'처럼 예금자 등과 이용계약을 체결하고 계좌개설 지원, 계좌정보 제공, 송금지시 전달 및 ATM서비스의 제공을 실시하는 등 은행과 이용자 사이에서 서비스를 제공하는 다양한 중간적 업체가 등장하고 있다. 이러한 서비스를 비롯한 IT기술을 활용한 금융 서비스의 등장에는 이용자 편리성에 이바지하는 것이 기대되는 한편 은행의 위탁 등을 받지 않고 서비스를 제공하는 중간적 업체에 대해서는 금융당국의 직접규제가 존재하지 않으므로 이용자 보호 등의 대응을 제대로 찾지 못할 우려가 있다.
본고에서는 이처럼 여러 관점에서 환경변화와 금융사업 관련 내용을 검토했으나 큰 변화의 극히 일부를 개관했을 뿐이다. 본고의 연구 성과를 통해 금융시장 상황에서 미래의 경제성장에 따른 위험을 평가하는 데 유익한 정보를 얻을 수 있다. 세계 금융위기의 경험에서 알 수 있듯이 이러한 정보를 활용하면 정확한 사전 대응도 가능하다고 생각한다.",기술진보 금융업 고객가치 금융위기 은행과산업의 분리 금융업의 규제 Technological advances financial business customer value financial crisis separation of bank and industry regulation of financial industry
,2017,화폐 간 결제경쟁에 따른 은행규제의 방향,"경쟁은 자본주의 경제의 기본원리이다. 경쟁을 제한하는 것이 아니라 경쟁, 기술혁신을 촉구하는 동시에 경쟁환경을 왜곡하는 것과 같은 제도·규제의 개선·폐지 검토를 추진해야 한다. 1994년 빌 게이츠가 'Banking is necessary but banks are not'이라고 예언했다고 한다. IT기술의 진전으로 기존 점포형 은행은 퇴출되었고 다양한 업태가 신규로 참가하여 제공하는 은행 서비스만이 남는다는 전망이다. 이 글이 다루는 화폐(결제 서비스) 또한 기존에는 은행이 독점적으로 제공하던 것이며 Fintech 등의 기술혁신에 의해서 타 업태에 의한 신규참가가 진행되고 경쟁이 점차 거세지고 있다. 본 논문은 새 화폐(가상화폐, 전자화폐)의 보급과 그에 따른 화폐 간 경쟁의 격화가 금융 시스템에 어떤 변화를 가져올지 생각하고 논의를 진행하였다. 그 결과 새 화폐의 보급과 그에 따른 화폐 간 경쟁은 이하 2가지 점을 통한 금융 시스템에 나쁜 영향을 줄 가능성이 있으며 그것들을 위한 대책이 필요하다는 주장을 제기한다.
첫 번째가 화폐 간 경쟁에 따른 은행 시스템의 불안정화이며, 그것에 대해서는 유동성 공급주체 간의 경쟁환경을 왜곡하지 않는 제도·규제의 정비가 필요하다. 예를 들면, 새 화폐 발행 주체에 대한 자기자본 비율 규제의 도입 혹은 은행에 대한 자기자본 비율 규제의 완화·철폐, 업무범위 규제(일방향) 규제 완화 및 철폐이다. 그러나 현재 한국에서 새 화폐의 보급은 진전되고 있다고는 해도 화폐 간 경쟁이 벌어지고 있는 단계는 아니다. 때문에 이 나쁜 영향은 당분간 발생하지는 않을 것으로 생각되지만, 장기적 관점에서 Level Playing Field의 관점에서 제도·규제 정비를 추진할 필요가 있다.
두 번째는 새 화폐 발행주체의 높은 레버리지화이며 이를 위한 사회 안전망과 규제의 정비이다. 예를 들어 예금보험 제도나 자기자본 비율 규제 등의 은행규제에 준한 제도·규제의 정비이다. 이러한 제도·규제가 정비로 새 화폐의 보급을 방치하는 것은 소비자 보호의 관점, 금융 시스템·한국 경제에의 영향의 관점에서도 피해야 한다. 한국 경제뿐 아니라 선진국 경제는 저금리가 이어지는 동시에 Fintech의 기술혁신이 계속되고 있다. 향후 새 화폐(새로운 결제수단)은 급속도로 확대하는 화폐 간 경쟁도 현실성을 띨 것으로 생각되어 조속한 대응이 요구된다.",은행업 기술혁신 가상화폐 자기자본규제 핀테크 결제수단 banking chnological innovation virtual currency equity capital regulation fintech
,2017,사회공학을 이용한 공격으로부터 금융보안의 대응방안,"사회공학은 정보보안의 맥락에서 사람들이 기밀정보를 누설하거나 기밀정보를 누설하는 것을 심리적으로 조작하는 것을 말한다. 정보수집, 사기 또는 시스템 액세스를 목적으로 하는 신뢰하는 트릭 유형으로 보다 복잡한 사기계획의 많은 단계 중 하나인 경우가 많다는 점에서 기존의 '방식'과 다르다. 인간을 심리적으로 조작하는 행위로서의 '사회공학'이라는 용어는 사회과학과도 관련이 있지만,컴퓨터 및 정보보안 전문가들 사이에서 그 사용법이 발견되었다.
사회공학은 인간 상호작용을 통해 수행되는 광범위한 악성활동에 사용되는 용어이다. 심리적 조작을 통해 사용자가 속임수를 쓰거나 보안상의 실수를 범하거나 민감한 정보를 빼내려고 한다. 사회공학적 공격방법은 하나 이상의 단계에서 발생한다. 가해자는 의도한 피해자를 조사하여 잠재적 진입 지점 및 취약한 보안 프로토콜과 같은 공격을 진행하는 데 필요한 배경 정보를 수집하여 한다. 그런 다음 공격자는 피해자의 신뢰를 얻고 민감한 정보를 공개하거나 중요한 리소스에 대한 액세스 권한을 부여하는 등 보안 관행을 위반하는 후속조치에 대한 자극을 제공한다.
사회공학이 특히 위험하게 만드는 것은 소프트웨어 및 운영체제의 취약점보다는 사람의 실수에 의존한다는 것이다. 합법적인 사용자가 저지른 실수는 예측하기 어렵기 때문에 멀웨어 기반 침입보다 식별 및 방해하기가 더 어렵다.",금융보안 사회공학 공격 정보보안 문화 프리텍스팅 전환도용 피싱 유혹 대책 보안관련법 Financiza Security Social Engineering Attack Information Security culture Pretexting Diversion theft Phishing Baiting Countermeasures Security law
,2017,한은금융망 운영의 연도별 효율성 분석: 비모수적(DEA) 방법론의 적용,"본 연구는 지급결제제도가 안정성과 효율성을 동시에 추구하고 있음에도 불구하고, 지급결제제도의 효율성을 다룬 연구가 많지 않음을 고려하여 우리나라 지급결제시스템의 정점에 서 있는 한국은행의 거액결제시스템을 대상으로 1995~2016년의 22개년을 대상으로 DEA모형을 적용하여 연도간 효율성을 분석하고자 하였다.
분석결과, CPI지수로 환산하기 전의 데이터를 활용한 모형 A에서는 CCR모형에 의한 효율성 점수가 83.6%로 나타났으며, BCC모형에 의한 효율성 점수는 99.2%로 나타나 한은금융망 운영의 효율성은 비교적 무난한 수준에 있는 것으로 판단되었다. 특히 순수 기술적 효율성을 나타내는 BCC모형 점수의 평균이 99%를 상회한다는 것은 한은금융망의 투입·산출의 구조가 매우 양호하다는 시사점을 도출할 수 있었다.
효율성의 추세는 2006년 이후 개선되기 시작하여 2013년 이후에는 효율성 수준이 매우 양호한 것으로 나타났다.
CPI 지수로 환산된 데이터를 활용한 모형 B에서는 BCC모형에 의한 해를 구할 수 없었으나, CCR모형의 경우 모형 A와 상관관계가 매우 높은 것으로 분석되었다.
또한, 혼합결제시스템의 도입 전후 효율성을 비교한 결과 도입 이후의 효율성이 통계적으로 유의한 수준에서 높은 것으로 나타났다.
한은금융망의 최근 효율성이 양호한 것으로 나타난 만큼 향후 투입과 산출의 규모는 2016년을 기준으로 관리·운용할 필요가 있는 점, 한은금융망의 투입·산출구조가 매우 양호하여 여타 지급결제시스템들이 벤치마킹할 필요가 있는 점, 혼합형결제방식을 보다 다양화·고도화시켜야 하는 점, 지급결제시스템을 다룬 효율성 연구 및 지급결제 관련 국제 비교연구의 활성화가 필요한 점 등을 정책적 시사점으로 제시하였다.",지급결제제도 한은금융망 효율성 자료포락분석 맨-휘트니 검정 Payment and Settlement system Korea bank financial network system Efficiency Data envelopment analysis Mann- Whitney test
,2017,자금결제에 있어서 완결성 개념의 다의성을 둘러싼 법적 검증,"한 나라의 지급결제시스템은 그 나라의 금융안정에 영향을 미치는 금융시스템의 매우 중요한 부분을 차지한다. 지급결제시스템에서 결제의 완료(settlement finality)란 일반적으로 결제가 무조건적이고 취소불능이 되어 최종적으로 완료된 상태로 정의한다. 우리나라에서는 결제 완료성이라 불린다. 국제결제은행의 장을 중심으로 결제 시스템에서의 리스크 관리의 중요성이 제기되는 가운데 이 완결성 개념이 클로즈업되어 왔지만, 한편으로 그 개념의 범위와 존재 의의의 이해에는 자칫하면 애매한 점이 많고 불명확한 부분이 있었음을 부인할 수 없다.
지급결제(Payment and Settlement)란 실물 및 금융거래에 따라 발생하는 경제주체 간 채권·채무관계를 화폐적 가치의 이전을 통해 해소하는 행위를 말하며 지급결제제도(Payment Systems)는 이러한 화폐적 가치의 이전을 가능케 하는 제도적 장치로서 그 기능은 아무리 강조해도 지나치지 않다. 그런데 이미 지불행위와 채무의 변제 등의 용어가 존재하는 가운데 굳이 완결성 개념을 이용하여 지급결제 방식의 논의를 전개하는 한은 우선 완결성 개념의 범위와 의의를 제대로 파악하는 것이 중요하다.
본고에서는 구체적으로는 당사자 간 결제완료로 인한 완결성 개념과 대 제3자에 대한 지불완료로 인한 완결성 개념에 초점을 맞추고 실제 결제 시스템에서의 리스크 관리 국면에 있어서 각자가 어떤 역할을 하고 있는지 검증을 실시하고, 완결성 개념의 실제적 의미의 논의를 전개하는 것이 본고의 주목적이다. 덧붙여서 그러한 논의 과정을 통해서 드러난 새로운 관점에 근거하여 현재의 결제 시스템에 대한 법적 제재에 관한 문제점을 제시하도록 시도한다.",자금결제 결제완료 취소불능 국제결제은행 지급행위 위험관리 금융제도 Settlement of fund settlement finalty irrevocable Bank for International Settlement payment behavior risk management financial system
,2017,신(新) 지급결제기술의 출현이 결제시장과 사회후생에 미치는 영향,"본 연구는 신(新) 지급결제기술(간편결제, MST, 폰투폰 결제, 모바일POS)의 출현이 결제 시장(카드사, VAN사, IT업체, 소비자, 가맹점)과 전체 사회후생(긍정적 측면, 부정적 측면)에 미치는 영향을 분석한다. 우선 현재 빠르게 발전하고 있는 지급결제기술과 시장변화의 근본원인에 대해서 고찰해보고 신(新) 지급결제기술의 현황 및 특징에 대해서 알아본다. 이를 통해서 각 지급결제기술이 이해당사자들(카드사, VAN사, IT업체, 소비자, 가맹점)에게 채택되는 유인에 대해서 분석하고 사회후생에 미치는 영향과 정책방향을 제시한다.
최근 지급결제시장의 급격한 기술과 시장 환경변화는 인터넷 보급증가와 속도향상, 스마트폰의 기술과 대중화, 해외 간편결제서비스의 관심 증가와 국내 진출 우려, 국내의 핀테크관련 제도변화, 디지털 기술의 발달로 해석할 수 있다. 이는 결제시장에서 온·오프라인 결제, 금융서비스(송금, 결제, 포인트적립, 할인)의 통합, 결제수단(신용/체크카드, 은행계좌, 휴대폰 등)의 다변화를 야기하였다. 이와 같은 변화는 소비자와 가맹점의 편의성, 보안성, 비용효율성을 향상시켜 사회후생을 증진시키는 결과를 가져오고 있다. 다만, 일부 사회후생을 저해하는 요인들(다수 간편결제서비스 출현, 보안성 우려, 비용 증가)이 존재한다.
이에 본 연구는 지급결제시장에 있어 사회후생을 극대화하기 위한 정책방향을 다음과 같이 제시한다. 우선, 지급결제서비스 시장에서 비용효율적 시스템이 적용될 수 있도록 인센티브 구조를 마련하는 것이다. 그리고 폰투폰 결제와 모바일 POS와 같이 중간 지급결제서비스 업체를 우회해 비용절감 할 수 있는 가술을 적극 수용해야 한다. 또한, 가맹점의 단말기 중복 투자 지출을 최소화하고 호환성을 높이는 정책을 마련해야 한다. 마지막으로는 지급결제 네트워크의 단계별 비용구조(카드사, VAN사, VAN대리점 등)를 정률제로 일원화하는 것이다.",지급결제기술 결제시장 사회후생 간편결제 이해당사자 정책방향 Payment technology payment market social welfare easy payment stakeholder policy direction
,2017,지급결제제도의 변화와 미래 : 역사적 신제도주의 접근을 중심으로,"본 연구는 지급결제제도가 안정성(stability)을 근간으로 하는 제도임에도 불구하고, IT금융기술의 비약적인 발전으로 인해 엄청난 변화를 겪고 있음을 감안하여 지급결제제도에 초래된 변화의 과정과 미래 모습을 역사적 신제도주의 접근법을 통해 분석하였다.
분석결과, 경로의존모형은 어느 시기에서나 지급결제제도의 변화양상을 제대로 설명할 수 없다는 점을 확인하였다. 경로의존모형을 통해 시기별 제도변화의 과정을 살펴본 결과는 다음과 같다.
첫째, 지급결제제도의 도입기에서 경로진화의 형태는 '가겹(Layering)'에 해당되는 것으로 분석되었다. 둘째, 지급결제제도의 제도정착기에서 경로진화의 형태는 '전치(Displacement)'에 해당되는 것으로 분석되었다. 셋째, 지급결제제도의 성장기에서 경로진화의 형태는 '가겹(Layering)'에 해당되는 것으로 분석되었다. 넷째, 지급결제제도의 안정기에서 경로진화의 형태는 '전환(Conversion)'에 해당되는 것으로 분석되었다. 다섯째, 지급결제제도의 글로벌도약기에서 경로진화의 형태는 '가겹((Layering)'에 해당되는 것으로 분석되었다.
지급결제제도를 둘러싼 정책 · 금융 환경의 변화로 인해 제도변화의 과정에 대한 규칙성을 찾기는 어렵지만, 향후에는 정치적 거부권자들은 많고, 경로운영자의 재량권은 좁은 '가겹'에 의해 지급결제제도의 변화과정을 설명할 수 있는 경우 많을 것으로 보인다.
따라서 정치적 거부권자는 많고, 재량권은 작은 상황에서 우수한 성과와 명분을 확보하고서, 효과적으로 정부정책을 수행하는 것이 지급결제시스템이 안고 있는 당면과제라 할 수 있다.",지급결제제도 역사적 신제도주의 경로의존 경로진화 신제도주의 Payment and settlement system Historical New Institutionalism Path dependent model Path evolution model New Iinstitutionalism
,2017,분산원장(Blockchain)의 적용 모델 연구 : 자본시장을 중심으로,"분산원장기술은 금융서비스의 디자인에 유연성을 제공할 수 있기 때문에 금융산업의 다양한 분야에서 활용될 것이며, 그 편익 역시 다양한 범위에서 발생하게 되어 일률적으로 전체 편익규모를 측정하는 것은 쉽지 않다. 현재까지 실용의 측면과 규제의 관점에서 검토되어야 할 부분이 있지만, 분산원장기술은 금융서비스 관련 조정과정이나 데이터의 공유로 인해 자동적이면서 효과적인 비즈니스 운영을 가능하게 하여 비용을 크게 절감시키고, 금융시장 참가자들의 편익을 증진시킬 수 있다. 따라서 분산원장기술이 금융인프라에 미치는 긍정적 효과를 확대시키기 위해서는 금융기관과 핀테크기업 그리고 규제기관의 이해 깊은 협업이 필요하다. 현재까지 분산원장기술의 적용에 효과를 체계적으로 분석하지 못하였으며, 해외경제연구소 및 해외금융컨설팅을 중심으로 분산원장기술 도입시 비용의 절감측면을 예상과 추정만으로 분산원장의 편익을 측정·예측하고 있는 상황이다. 이에 따라 본 연구에서는 자본시장에서의 분산원장기술을 도입하였을 효과를 분석하고자 하였다. 먼저 분산원장기술의 개념및 장단점 등을 살펴보고, 금융서비스에서의 적용 사례를 검토한다. 다음으로 현 자본시장의 특성에 따른 분산원장기술의 적용 가능성을 검토하고, 마지막으로 자본시장에서의 분산원장(Blockchain) 비용절감 효과 분석한다.",블록체인 비트코인 금융인프라 분산원장기술 디지털통화 자본시장 blockchain bitcoin financial infrastructure distributed ledger technique digital currency capital market
