Id,Label,timeset,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,eigencentrality,clustering,triangles
은행,은행,,369,23,120,3,0.579439,0.669355,712.636302,0.335539,0.335539,0.058917,0,0,2,0.947076,0.150198,38
발행,발행,,185,16,113,3,0.508197,0.591398,373.526146,0.283632,0.283632,0.037945,0,1,1,0.781739,0.3,36
블록체인,블록체인,,265,16,79,4,0.525424,0.603495,326.152768,0.281503,0.281503,0.037453,0,4,0,0.795313,0.233333,28
법,법,,188,14,76,4,0.466165,0.552419,313.580564,0.109582,0.109581,0.036786,0,5,2,0.385507,0.230769,21
통화,통화,,225,14,116,4,0.488189,0.568548,265.704537,0.247271,0.247271,0.036202,0,1,1,0.667643,0.252747,23
디지털,디지털,,244,18,153,3,0.53913,0.620968,216.001732,0.369975,0.369975,0.040722,0,1,1,1,0.326797,50
데이터,데이터,,201,11,60,4,0.427586,0.505376,139.757848,0.15535,0.155349,0.027647,0,3,0,0.441765,0.309091,17
핀테크,핀테크,,307,12,59,4,0.433566,0.514785,124.162968,0.184611,0.184611,0.028955,0,3,0,0.519226,0.257576,17
지급결제,지급결제,,183,10,44,4,0.473282,0.537634,99.310112,0.23089,0.23089,0.023731,0,1,1,0.620483,0.422222,19
중앙은행,중앙은행,,137,12,93,4,0.469697,0.544355,94.543118,0.243082,0.243082,0.029586,0,1,1,0.648702,0.393939,26
보안,보안,,126,4,21,5,0.382716,0.430645,65.385714,0.056021,0.056021,0.013095,0,4,0,0.169772,0.333333,2
자금세탁,자금세탁,,71,2,7,5,0.333333,0.367473,61,0.027111,0.027111,0.010378,0,6,1,0.073733,0,0
분산,분산,,85,8,34,5,0.394904,0.465591,56.812518,0.074089,0.074089,0.020707,0,5,2,0.265076,0.535714,15
카드,카드,,138,6,26,4,0.385093,0.44086,53.61612,0.06609,0.06609,0.018585,0,0,2,0.192842,0.4,6
암호화폐,암호화폐,,116,8,41,4,0.407895,0.471774,48.549639,0.087388,0.087388,0.020037,0,5,2,0.298317,0.464286,13
비트코인,비트코인,,119,8,39,4,0.427586,0.487903,47.000181,0.149561,0.149561,0.019658,0,4,0,0.417793,0.392857,11
가상화폐,가상화폐,,115,5,20,4,0.430556,0.475806,45.037919,0.082658,0.082658,0.013245,0,4,0,0.242776,0.2,2
인공지능,인공지능,,116,5,24,5,0.373494,0.431989,41.292563,0.058929,0.058929,0.0137,0,3,0,0.185931,0.5,5
네트워크,네트워크,,91,8,30,4,0.427586,0.489247,36.253964,0.185177,0.185178,0.018963,0,1,1,0.497796,0.464286,13
카드사,카드사,,28,4,12,5,0.336957,0.38414,20.011977,0.038576,0.038576,0.013199,0,0,2,0.110093,0.333333,2
인터넷,인터넷,,127,5,18,4,0.430556,0.474462,18.666353,0.120236,0.120236,0.013811,0,0,2,0.334751,0.6,6
오픈,오픈,,101,5,17,4,0.430556,0.474462,14.167238,0.130576,0.130576,0.012751,0,3,0,0.359965,0.7,7
혁신,혁신,,188,6,38,4,0.442857,0.490591,11.94354,0.159604,0.159604,0.014717,0,3,0,0.436213,0.6,9
송금,송금,,88,4,18,4,0.424658,0.46371,11.634088,0.094645,0.094645,0.010891,0,4,0,0.268265,0.5,3
한국은행,한국은행,,57,7,30,4,0.392405,0.456989,9.161111,0.170771,0.170771,0.01673,0,1,1,0.450768,0.571429,12
화폐,화폐,,103,7,44,3,0.473282,0.518817,7.097647,0.215831,0.215831,0.016797,0,1,1,0.583109,0.809524,17
신용,신용,,82,3,14,4,0.378049,0.416667,7.078491,0.047698,0.047698,0.009999,0,0,2,0.13902,0.666667,2
자산,자산,,115,5,17,4,0.375758,0.420699,3.358333,0.071824,0.071824,0.013502,0,4,0,0.205045,0.5,5
중국,중국,,67,4,22,5,0.314721,0.366129,1.583333,0.045328,0.045328,0.011598,0,3,0,0.135338,0.833333,5
전환사채,전환사채,,26,6,29,4,0.348315,0.405914,1,0.060158,0.060158,0.016153,0,2,1,0.181349,0.8,12
신주인수권,신주인수권,,25,6,28,4,0.348315,0.405914,1,0.060158,0.060158,0.016153,0,2,1,0.181349,0.8,12
역외,역외,,19,6,30,5,0.338798,0.401075,0.666667,0.041093,0.041092,0.015886,0,5,2,0.169948,0.866667,13
재판,재판,,19,6,30,5,0.338798,0.401075,0.666667,0.041093,0.041092,0.015886,0,5,2,0.169948,0.866667,13
주법,주법,,13,4,12,4,0.405229,0.448925,0,0.062757,0.062757,0.011621,0,5,2,0.198681,1,6
증권,증권,,92,2,8,4,0.389937,0.424731,0,0.06709,0.06709,0.006574,0,0,1,0.186836,1,1
스웨덴,스웨덴,,24,4,14,4,0.3875,0.435484,0,0.123953,0.123953,0.010613,0,1,1,0.329268,1,6
예금,예금,,85,3,13,4,0.378049,0.416667,0,0.056547,0.056547,0.009542,0,0,2,0.161636,1,3
선적,선적,,26,3,9,4,0.373494,0.41129,0,0.046416,0.046416,0.010534,0,0,2,0.134199,1,3
서류,서류,,26,3,9,4,0.373494,0.41129,0,0.046416,0.046416,0.010534,0,0,2,0.134199,1,3
