Id,Label,timeset,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
디지털,디지털,,204,38,20242,1,1,1,17.358958,0.213184,0.213184,0.035489,0,1,7,0.678521,477,1
은행,은행,,310,38,23867,1,1,1,17.358958,0.213184,0.213184,0.035489,0,2,1,0.678521,477,1
지급결제,지급결제,,198,38,20460,1,1,1,17.358958,0.213184,0.213184,0.035489,0,3,2,0.678521,477,1
네이버,네이버,,160,37,12198,2,0.974359,0.986842,14.562676,0.210318,0.210318,0.034558,0,0,4,0.695195,463,0.986277
핀테크,핀테크,,148,35,15600,2,0.926829,0.960526,11.232676,0.202698,0.202698,0.032793,0,2,3,0.722689,430,0.950131
플랫폼,플랫폼,,119,33,13520,2,0.883721,0.934211,10.395727,0.191861,0.191861,0.031149,0,2,5,0.727273,384,0.899237
혁신,혁신,,121,34,11064,2,0.904762,0.947368,10.380886,0.197893,0.197893,0.031949,0,2,12,0.73262,411,0.927579
카드,카드,,215,34,21536,2,0.904762,0.947368,9.685229,0.198957,0.198957,0.031903,0,0,17,0.737968,414,0.932461
계획,계획,,51,32,6119,2,0.863636,0.921053,8.826122,0.188437,0.188437,0.030246,0,2,3,0.745968,370,0.883299
신용,신용,,100,32,11595,2,0.863636,0.921053,7.508112,0.189893,0.189893,0.030189,0,0,18,0.762097,378,0.889631
법,법,,51,26,5144,2,0.76,0.842105,6.776733,0.149496,0.149496,0.025491,0,3,0,0.735385,239,0.701857
시,시,,40,29,4809,2,0.808511,0.881579,6.622772,0.17374,0.17374,0.027734,0,0,15,0.780788,317,0.814154
페이,페이,,75,28,10019,2,0.791667,0.868421,5.976393,0.168318,0.168318,0.026892,0,0,11,0.780423,295,0.788467
한국은행,한국은행,,64,25,7234,2,0.745098,0.828947,5.621097,0.146305,0.146305,0.024574,0,3,9,0.75,225,0.68658
