,Topic,Words,Frequency,Timestamp
0,-1,"화폐, 공학, 보안, 은행, 가상화폐",3,2016.996
1,0,"핀테크, 은행, 스타일, 펀드, 상업",2,2016.996
2,1,"지급결제, 모형, 경로, 분산원장기술, 은행",6,2016.996
3,-1,"통화, 디지털, 법정통화, 프랭크, 월스트리트",3,2017.8
4,0,"핀테크, 블록체인, 데이터, 이노베이션, 무현금",7,2017.8
5,1,"지급결제, 카드, 은행, 한국은행, 환어음",6,2017.8
6,-1,"사이버, 보안, 예금, 유발, 세기",5,2018.8
7,0,"블록체인, 핀테크, 데이터, 혁신, 은행",9,2018.8
8,1,"지급결제, 혁신, 테일, 간접, 은행",4,2018.8
9,-1,"암호화폐, 통화, 분산, 디지털, 중앙은행",4,2019.8
10,0,"블록체인, 핀테크, 혁신, 암호화폐, 디지털",14,2019.8
11,1,"지급결제, 은행, 무현금, 이원, 면허",4,2019.8
12,-1,"통화, 디지털, 발행, 가상자산, 중앙은행",6,2020.8
13,0,"블록체인, 핀테크, 인공지능, 디지털, 데이터",14,2020.8
14,1,"가상자산, 발행, 전환사채, 신주인수권, 지급결제",6,2020.8
