,Topic,Count,Name,Keywords
0,-1,3479,-1_카드_은행_페이_지급결제,카드 은행 페이 지급결제 수수료 카드사 디지털 핀테크 네이버 화폐
1,0,445,0_비트코인_가상화폐_거래소_암호화폐,비트코인 가상화폐 거래소 암호화폐 코인 가상자산 채굴 하락 화폐 자산
2,1,386,1_데이터_플랫폼_디지털_은행,데이터 플랫폼 디지털 은행 혁신 핀테크 빅데이터 대출 마이데이터 빅테크
3,2,310,2_수수료_은행_가상통화_코인,수수료 은행 가상통화 코인 핀테크 금융결제원 디지털 지급결제 혁신 영업
4,3,267,3_증권사_증권_회장_자본,증권사 증권 회장 자본 허용 운동장 법인 협회 은행 펀드
5,4,175,4_물가_통화_금리_총재,물가 통화 금리 총재 경기 가계 회복 완화 인상 상승
6,5,137,5_블록체인_암호화폐_토큰_코인,블록체인 암호화폐 토큰 코인 체인 프로젝트 리플 네트워크 테라 플랫폼
7,6,120,6_카드_신한_국민카드_페이,카드 신한 국민카드 페이 카드사 플랫폼 디지털 통합 스타트업 모바일
8,7,117,7_캄보디아_현지_베트남_인도네시아,캄보디아 현지 베트남 인도네시아 글로벌 아세안 싱가포르 진출 태국 동남아
9,8,105,8_코로나19_감염증_코로나바이러스_신종,코로나19 감염증 코로나바이러스 신종 디지털 화폐 중앙은행 발행 통화 중국
10,9,90,9_오픈뱅킹_조회_은행_계좌,오픈뱅킹 조회 은행 계좌 오픈 핀테크 이체 출금 보안 점검
11,10,81,10_금액_건수_평균_분기,금액 건수 평균 분기 하루 일평균 송금 실적 대비 선불금
12,11,75,11_법안_개정안_국회_전금법,법안 개정안 국회 전금법 발의 정무 통과 금융위 입법 가상자산
13,12,71,12_입력_정형_기호_수탁,입력 정형 기호 수탁 퀀트 대금 계약서 피해 책임 파생
14,13,70,13_주제_세미나_포럼_핀테크,주제 세미나 포럼 핀테크 혁신 행사 세션 블록체인 디지털 스타트업
15,14,68,14_토스페이먼츠_카페_가맹점_토스,토스페이먼츠 카페 가맹점 토스 온라인 페이 쇼핑몰 플러스 비바리퍼블리카 커머스
