,Topic,Words,Frequency,Timestamp
0,-1,"은행, 카드, 페이, 지급결제, 중국",145,2016-12-30 04:55:12
1,0,"비트코인, 중국, 거래소, 위안, 가상화폐",5,2016-12-30 04:55:12
2,1,"위비, 뱅크, 행장, 디지털, 데이터",17,2016-12-30 04:55:12
3,2,"투비, 레즈, 엔비, 소프트, 대리",11,2016-12-30 04:55:12
4,3,"증권사, 회장, 운동장, 신탁업, 증권",68,2016-12-30 04:55:12
5,4,"금리, 경기, 상승, 총재, 물가",7,2016-12-30 04:55:12
6,5,"블록체인, 컨소시엄, 위변, 이경탁, 타임스",3,2016-12-30 04:55:12
7,6,"카드, 신한, 현대, 디지털, 빅데이터",9,2016-12-30 04:55:12
8,7,"비앤비, 우버, 중국, 아이비, 찌아",2,2016-12-30 04:55:12
9,9,"도면, 총무, 동창회, 조회, 오픈뱅킹",1,2016-12-30 04:55:12
10,10,"하루, 평균, 분기, 건수, 금액",6,2016-12-30 04:55:12
11,12,"수협, 인터넷전문은행, 예금자, 선주, 횡령",2,2016-12-30 04:55:12
12,14,"블루, 인수, 현대, 대행, 브랜즈",2,2016-12-30 04:55:12
13,15,"체크카드, 신용카드, 하루, 평균, 카드",10,2016-12-30 04:55:12
14,16,"정률제, 수수료, 밴사, 카드사, 카드",3,2016-12-30 04:55:12
15,17,"p2p, 핀테크, 로보어드바이저, 일보, 대출",2,2016-12-30 04:55:12
16,19,"사기죄, 수수료, 카드, 컴퓨터, 명의",2,2016-12-30 04:55:12
17,20,"블로, 삼성, 블록체인, 양사, 금융망",3,2016-12-30 04:55:12
18,21,"로페이, 부업, 준비금, 제재, 사고",1,2016-12-30 04:55:12
19,23,"중국, 알리페이, 알리바바, 위챗, 모바일",3,2016-12-30 04:55:12
20,24,"스위프트, 국영, 북한, 퇴출, 교역",1,2016-12-30 04:55:12
21,25,"예금자, 예금, 보험, 곽범국, 보험금",1,2016-12-30 04:55:12
22,27,"모바일, 레즈, 엔비, 뱅킹, 과금",2,2016-12-30 04:55:12
23,29,"카카오페이, 카카오, 멜론, 임정환, 테스트로",2,2016-12-30 04:55:12
24,33,"양국, 부원장, 수석, 스웨덴, 화합",2,2016-12-30 04:55:12
25,34,"스위프트, 북한, 방글라데시, 통신망, 핏줄",2,2016-12-30 04:55:12
26,36,"지문, 생체, 애플, 구글, 얼굴",1,2016-12-30 04:55:12
27,37,"소규모, 자본금, 등록, 대행업, 프리",1,2016-12-30 04:55:12
28,39,"게임, 매출, 광고, 카카오, 알리페이",3,2016-12-30 04:55:12
29,40,"신탁업, 농사, 사냥, 자산운용, 분리",1,2016-12-30 04:55:12
30,41,"정맥, 핸드, 템플, 바이오, 인증",1,2016-12-30 04:55:12
31,42,"인수, 치킨, 체인, 브랜즈, 윤선희",1,2016-12-30 04:55:12
32,45,"변곡점, 동전, 물물, 종이, 거스름돈",3,2016-12-30 04:55:12
33,46,"복장, 호칭, 유연근, 무제, 단순",1,2016-12-30 04:55:12
34,48,"영상, 제보, 공감, 이영환, 언론",6,2016-12-30 04:55:12
35,51,"체크카드, 일평균, 성인, 체크, 편의점",2,2016-12-30 04:55:12
36,53,"금융망, 앞수표, 이체, 비증, 감소",2,2016-12-30 04:55:12
37,54,"한컴, 공시, 레즈, 엔비, 기재",1,2016-12-30 04:55:12
38,56,"외국환, 플래닛, 이베이, 거래법, 위반",2,2016-12-30 04:55:12
39,58,"금융망, 이체, 계영, 뱅킹, 지시",1,2016-12-30 04:55:12
40,60,"삭스, 골드만, 상담원, 잠식, 인공지능",1,2016-12-30 04:55:12
41,62,"오전, 장관, 차관, 산업부, 해수부",1,2016-12-30 04:55:12
42,64,"액티브, 시니어, 김충남, 연구소, 타깃",1,2016-12-30 04:55:12
43,72,"손상, 폐기, 예금, 원권, 지폐",2,2016-12-30 04:55:12
44,78,"하도급, 동진, 레저, 음대, 아웃도어",1,2016-12-30 04:55:12
45,79,"은행장, 총재, 독일, 협의회, 바덴바덴",9,2016-12-30 04:55:12
46,81,"수수료, 영세, 인화, 환급, 동기간",2,2016-12-30 04:55:12
47,84,"동전, 거스름돈, 편의점, 적립, 잔돈",3,2016-12-30 04:55:12
48,85,"카드, 카드사, 방일, 마일리지, 직불",1,2016-12-30 04:55:12
49,96,"교육, 대학, 공학, 혁명, 구글",2,2016-12-30 04:55:12
50,-1,"뱅크, 은행, 송금, 카카오뱅크, 카드",114,2017-03-31 18:00:00
51,0,"비트코인, 가상화폐, 더리, 거래소, 화폐",22,2017-03-31 18:00:00
52,1,"뱅크, 인터넷전문은행, 인터넷, 은행, 창업",10,2017-03-31 18:00:00
