topic number,perplexity,coherence,metric
2,3188.0359940507883,0.7599002569913864,c_v
4,3128.049500897719,0.6944901390001178,c_v
6,2987.1972255285436,0.679370224964805,c_v
8,2931.4477806756026,0.7094404564239084,c_v
10,2939.4456385965805,0.7047947741346434,c_v
12,2823.7166829296766,0.6948089793014031,c_v
14,2713.043441186203,0.716853401091482,c_v
16,2669.934704816217,0.7060290724970401,c_v
18,2640.9393647614884,0.6886765520140115,c_v
20,2569.0333072232756,0.7008065922651439,c_v
22,2525.152366988627,0.7047560664740476,c_v
24,2456.2182276774965,0.6894341282546521,c_v
26,2426.3244109977777,0.6957537611946466,c_v
28,2387.814906446333,0.6866335048207215,c_v
30,2366.9711811619163,0.6978130350991462,c_v
32,2323.480434839066,0.6767341196013148,c_v
34,2308.3258223670705,0.7020278926363545,c_v
36,2276.6649376401874,0.6939067624716296,c_v
38,2252.1598041816774,0.688848051085676,c_v
40,2242.844485683196,0.6868787059863098,c_v
42,2212.5442310741023,0.6817203490695518,c_v
44,2195.6556691600476,0.6944866988109425,c_v
46,2197.9659625730505,0.695621293556431,c_v
48,2152.269363234799,0.6781790787586942,c_v
50,2113.119538577309,0.6758578690588476,c_v
52,2103.302152220573,0.6865839478595613,c_v
54,2115.214680107809,0.676017912932568,c_v
56,2065.0105666923973,0.6815255139854602,c_v
58,2072.5699591267794,0.6763781320705109,c_v
60,2051.982289301388,0.6730770899332131,c_v
62,2047.4562037306348,0.670254853373814,c_v
64,2020.7999213584285,0.6731855286820065,c_v
66,2004.4427647033208,0.6715517439286818,c_v
68,2021.581274565404,0.6704002307512222,c_v
70,1985.1293045091827,0.6644132545124736,c_v
72,1973.3939795528088,0.6667867813492193,c_v
74,1963.7965714409286,0.6659994099993964,c_v
76,1950.5508351687893,0.6682272098541849,c_v
78,1949.5291309862237,0.6644131845770738,c_v
80,1929.9868724873443,0.6593027763976711,c_v
82,1932.8662315064894,0.6747913943603635,c_v
84,1934.8101432343688,0.6632876431946422,c_v
86,1916.6826634773197,0.6613485894317545,c_v
88,1896.6170227264988,0.6654595296766438,c_v
90,1893.4289793641972,0.6519606712584695,c_v
92,1887.4416135165557,0.6607775864130615,c_v
94,1859.8855707886978,0.6665561637662827,c_v
96,1896.2596054908572,0.6580619871014884,c_v
98,1863.5985598951356,0.6551488237037342,c_v
100,1837.842453780031,0.6537320428565145,c_v
