2017,2018,2019,2020,2021
1.1204418,1.3960404,1.0215776,0.813928,1.3602595
1.6281298,1.805941,0.93052757,1.8581656,1.6323462
1.5585592,1.9308887,1.6209953,1.1366968,0.5879662
0.22257674,0.5561892,1.5787799,1.123566,1.0016805
2.4021006,2.362817,2.05687,2.0647721,2.46603
0.6067047,1.0141089,2.327355,1.5503628,2.183105
1.1749247,1.2551432,1.0668571,0.31637263,1.4754814
1.1920717,0.97626626,1.2842493,0.5105587,1.3406731
1.6417161,1.730969,0.6026428,1.6079252,1.4568946
1.1432748,1.5130556,1.0799466,0.93158305,1.6806427
