Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,7.0,0.6607,"위험, 증권, 보험, 자산, 언급, P2P, 주식, 실정, 도모, 문제점",은행 펀드 상업 주식 원점 불변 비난 무능 부정과 위험
1,2.0,0.3995,"가상화폐, 법, 분산, 자산, 토큰, 플랫폼, 가상통화, 비트코인, 틀, 역외",가상화폐 실행 법 비트코인 법화 통제 대한민국 기초 종래 작용
2,9.0,0.2691,"무현금, 카드, 모바일, 신용, 수수료, 예금, 카드사, 신용카드, 폰, 제언",은행 중간 계좌 직접 양상 위험 경험 정확 폰 육성
3,3.0,0.5137,"통화, 중앙은행, 발행, 화폐, 암호자산, 글로벌, 코인, 비트코인, 법정통화, 스테이블",화폐 은행 혁신 자본 업태 완화 발행 왜곡 철폐 글
4,4.0,0.6786,"보안, 네트워크, 사이버, 한국은행, 모형, 분산원장기술, 공격, 단어, 계획, 차원",공학 보안 실수 심리 조작 공격 액세스 기밀 용어 피해자
5,4.0,0.8541,"보안, 네트워크, 사이버, 한국은행, 모형, 분산원장기술, 공격, 단어, 계획, 차원",모형 지급결제 금융망 산출 투입 점수 지수 환산 데이터 혼합
6,7.0,0.7506,"위험, 증권, 보험, 자산, 언급, P2P, 주식, 실정, 도모, 문제점",지급결제 완료 완결 의의 채무 실제 행위 리스크 화폐 장치
7,9.0,0.5991,"무현금, 카드, 모바일, 신용, 수수료, 예금, 카드사, 신용카드, 폰, 제언",지급결제 후생 폰 가맹점 카드사 보안 모바일 신 마련 저해
8,6.0,0.8512,"데이터, 빅, 중국, 테크놀로지, 경로, 신용, 이노베이션, 벤처, 장래, 부정",지급결제 경로 겹 시기 재량 정치 존모 거부 신제 양상
9,4.0,0.4879,"보안, 네트워크, 사이버, 한국은행, 모형, 분산원장기술, 공격, 단어, 계획, 차원",분산원장기술 분산원장 자본 측정 금융서비스 실용 시 조정 마지막 긍정
10,7.0,0.2502,"위험, 증권, 보험, 자산, 언급, P2P, 주식, 실정, 도모, 문제점",핀테크 스타일 데이터 가상화폐 인터넷 혁명 신조어 소프트웨어 성공 통신
11,3.0,0.3667,"통화, 중앙은행, 발행, 화폐, 암호자산, 글로벌, 코인, 비트코인, 법정통화, 스테이블",통화 가상화폐 디지털 법정통화 발행 엔 균형 도모 협조 원인
12,4.0,0.488,"보안, 네트워크, 사이버, 한국은행, 모형, 분산원장기술, 공격, 단어, 계획, 차원",지급결제 워드 신용카드 일반인 보편 모바일 도출 빈도 키 키워드
