topic number,label,keywords
0,오픈 혁신 인터넷 이노베이션 스마트폰,인터넷 송금 혁신 오픈 스마트폰 이노베이션 인도 우리나라 운용 통신
1,자금세탁 발행 책임 자본 청구,가상자산 발행 환어음 전환사채 신주인수권 거래소 골프 조치 추심 자금세탁
2,토큰 틀 청구 가상화폐 플랫폼,가상화폐 법 분산 자산 토큰 플랫폼 가상통화 비트코인 틀 역외
3,중앙은행 디지털 통화 발행 중앙은행 디지털 통화 발행,통화 중앙은행 발행 화폐 암호자산 글로벌 코인 비트코인 법정통화 스테이블
4,네트워크 지급결제 지급결제 한국은행 지급결제 리스크,보안 네트워크 사이버 한국은행 모형 분산원장기술 공격 단어 계획 차원
5,인공지능 빅데이터 혁신 보험 혁명,혁신 인공지능 빅데이터 금융서비스 대출 혁명 가속 자본 소액결제 창조
6,데이터 빅 데이터 빅 이노베이션 인공지능,데이터 빅 중국 테크놀로지 경로 신용 이노베이션 벤처 장래 부정
7,위험 혁신 핀테크 은행 디지털,위험 증권 보험 자산 언급 P2P 주식 실정 도모 문제점
8,법 청구 종래 암호화폐 예금,암호화폐 법 비트코인 책임 기초 연방 파산 이원 리 인정
9,카드 무현금 은행 계좌 모바일,무현금 카드 모바일 신용 수수료 예금 카드사 신용카드 폰 제언
