2017,2018,2019,2020,2021
0.30607164,1.1054217,0.9362924,1.2484864,0.73189604
2.5876546,1.7953635,1.0385867,1.2526273,2.8757
1.0678777,0.73559594,1.3399348,1.7612193,1.0902894
0.33803594,1.7146325,0.30034482,1.6813023,1.1984028
0.89873433,1.6316675,1.1146134,0.98166776,1.1036265
0.8503031,0.48408055,1.4880748,0.5523142,0.5693596
1.0960435,1.0761098,1.2774165,1.3627045,0.622069
0.9551268,0.33258754,0.6981468,0.836994,0.41677696
0.83597326,1.7094547,1.2910274,1.7510593,1.4075992
1.1634489,1.7773746,1.3512883,1.6358577,1.3345308
