Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,12.0,0.2772,"대출, 토스, 보험, 뱅크, 카카오뱅크, 금리, 인터넷, 인터넷전문은행, 신용, 케이",은행 P2P 대출 페이 모바일 블록체인 로보어드바이저 관심 인터넷 뱅크
1,18.0,0.7366,"화폐, 중앙은행, 발행, 한국은행, 한은, 통화, 계획, 리브, 유통, 테스트",디지털 화폐 발행 중앙은행 대비 지급결제 은행 세부 한국은행 한은
2,22.0,0.4832,"과세, 소득, 세금, 국세청, 역외, 계좌, 스위프트, 플랫폼, 탈루, 탈세",스위프트 은행 지급결제 역외 표준 글로벌 분산원장기술 대사 메시징 뒷받침
3,33.0,0.3797,"네이버, 카카오페이, 카카오, 페이, 플랫폼, 인수, 진출, 네이버파이낸셜, 자회사, 계열사",카카오페이 카카오 가맹점 모바일 핀테크 공개 별도 멜론 문화일보 총괄
4,11.0,0.3583,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",은행 계좌 실장 금리 기준 하락세 대출 현행 자산 연구원
5,20.0,0.3676,"혁신, 강조, 김, 교수, 위원장, 위원, 주제, 연구원, 원장, 포럼",은행 회장 신년 간담회 회원 인터넷전문은행 사 실장 핀테크 하영구
6,20.0,0.2911,"혁신, 강조, 김, 교수, 위원장, 위원, 주제, 연구원, 원장, 포럼",은행 신문 지급결제 연합 실장 간담회 원장 은행업 계좌 핀테크
7,11.0,0.379,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",은행 자본 자산 실장 리스크 금리 연구원 악화 발굴 대출
8,31.0,0.2055,"돈, 교수, 거, 얘기, 과거, 실제, 전문가, 인터넷, 결국, 고민",부도 대통령 한보 조선 당시 대선 기아차 한계 은행 조정
9,27.0,0.6187,"페이, 앱, 모바일, 카드사, 가맹점, 포인트, 계좌, 신한, 출시, 플랫폼",페이 삼성 신세계 닷컴 신문 모바일 온라인 삼성전자 유통 몰
10,0.0,0.3031,"혁신, 금융위, 위원회, 심사, 마련, 계획, 지정, 법, 시행, 신청",연체 대출 법 규율 상환 채무 통신 상거래 조정 전자화폐
11,11.0,0.3668,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",은행 자산 실장 금리 발굴 리스크 대출 조회 아시아 계좌
12,11.0,0.4595,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",은행 금리 실장 임 상승 대내외 강조 대출 하반기 추세
13,11.0,0.3593,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",실장 임 은행 발굴 연구원 대출 금리 주장 대내외 대비
14,11.0,0.2424,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",은행 주장 대출 계좌 지급결제 단순 자산 뜻 발굴 플랫
15,3.0,0.4232,"블록체인, 인증, 삼성, 플랫폼, 보안, 글로벌, 네트워크, 물류, 스마트, 분산",블록체인 은행 송금 글로벌 중개 핀테크 수수료 리플 혁명 무역
16,20.0,0.3424,"혁신, 강조, 김, 교수, 위원장, 위원, 주제, 연구원, 원장, 포럼",핀테크 샌드박스 중국 교수 글로벌 포럼 혁신 센터 변호사 해먼드
17,8.0,0.4506,"모바일, 대비, 신용, 감소, 평균, 금액, 체크카드, 건수, 액, 한국은행",화폐 손상 지폐 디지털 폐기 한은 원권 권 은행 카드
18,12.0,0.2835,"대출, 토스, 보험, 뱅크, 카카오뱅크, 금리, 인터넷, 인터넷전문은행, 신용, 케이",대출 핀테크 은행 송금 일보 디지털 한은 한국은행 예금 빅데이터
19,1.0,0.6126,"중국, 위안, 알리바바, 알리페이, 위안화, 인민은행, 위챗, 텐센트, 홍콩, 금지",위안 중국 은행 위안화 송금 자본 외환 유출 통제 환율
20,10.0,0.5577,"수수료, 카드사, 가맹점, 신용카드, 인하, 신용, 부담, 영세, 우대, 사",수수료 카드사 카드 정률제 밴사 대리점 기준 신용카드 인하 가맹점
21,26.0,0.6255,"오픈뱅킹, 계좌, 보안, 오픈, 금융결제원, 조회, 이체, 데일리, 앱, 뱅킹",뱅크 망 금융결제원 디지털 은행 실시간 데일리 이상일 개시 타행
22,10.0,0.5352,"수수료, 카드사, 가맹점, 신용카드, 인하, 신용, 부담, 영세, 우대, 사",카드 수수료 차별 물건 할인 값 가맹점 카드사 금지 신용카드
23,21.0,0.3676,"채용, 직원, 인력, 경영, 회장, 은행장, 행장, 이사, 인사, 전문",한국은행 채용 지급결제 지원자 팀장 화폐 디지털 경력 클릭 근무
24,8.0,0.4183,"모바일, 대비, 신용, 감소, 평균, 금액, 체크카드, 건수, 액, 한국은행",카드 카드사 소액결제 가맹점 금액 수수료 껌 신용 소액 거부
25,8.0,0.5769,"모바일, 대비, 신용, 감소, 평균, 금액, 체크카드, 건수, 액, 한국은행",카드 액 결제금 일평균 상반기 디지털 화폐 동전 블록체인 동기
26,8.0,0.6585,"모바일, 대비, 신용, 감소, 평균, 금액, 체크카드, 건수, 액, 한국은행",수표 상반기 평균 카드 앞수표 발행 권 어치 하루 모바일
27,27.0,0.3344,"페이, 앱, 모바일, 카드사, 가맹점, 포인트, 계좌, 신한, 출시, 플랫폼",송금 은행 외화 모바일 카드사 카드 앱 통합 플랫폼 출시
28,9.0,0.4114,"센터, 클라우드, 창업, 교육, 스타트업, 스마트, 선정, 의료, 아이디어, 플랫폼",교육 신용 연금 맞춤 협의회 노후 계층 취약 수요자 센터
29,1.0,0.5474,"중국, 위안, 알리바바, 알리페이, 위안화, 인민은행, 위챗, 텐센트, 홍콩, 금지",중국 트럼프 대통령 완화 무역 일자리 공장 외국 자동차 감세
30,1.0,0.1898,"중국, 위안, 알리바바, 알리페이, 위안화, 인민은행, 위챗, 텐센트, 홍콩, 금지",알리페이 카드 페이팔 진출 법인 계좌 온라인 중국 합작 연합
31,31.0,0.2438,"돈, 교수, 거, 얘기, 과거, 실제, 전문가, 인터넷, 결국, 고민",카드 수수료 송금 핀테크 신종 신용카드 신용 편의 계좌 가상화폐
32,31.0,0.3126,"돈, 교수, 거, 얘기, 과거, 실제, 전문가, 인터넷, 결국, 고민",제품 설 연휴 아나운서 시중 포켓 길 권 게임 인기
33,8.0,0.5245,"모바일, 대비, 신용, 감소, 평균, 금액, 체크카드, 건수, 액, 한국은행",권 화폐 발행 잔액 지폐 동전 시중 작년 환수 한은
34,18.0,0.5909,"화폐, 중앙은행, 발행, 한국은행, 한은, 통화, 계획, 리브, 유통, 테스트",동전 발행 거스름돈 한은 한국은행 환수 시범 편의점 유통 충전
35,10.0,0.6444,"수수료, 카드사, 가맹점, 신용카드, 인하, 신용, 부담, 영세, 우대, 사",수수료 카드사 카드 밴사 승인 정률제 주장 혁신 인하 건수
36,18.0,0.4099,"화폐, 중앙은행, 발행, 한국은행, 한은, 통화, 계획, 리브, 유통, 테스트",동전 발행 한은 카드 은행 돈 거스름돈 편의점 마이너스 충전
37,1.0,0.6219,"중국, 위안, 알리바바, 알리페이, 위안화, 인민은행, 위챗, 텐센트, 홍콩, 금지",중국 자본 수입 통제 위안 위안화 수출 유출 무역 약세
38,18.0,0.31,"화폐, 중앙은행, 발행, 한국은행, 한은, 통화, 계획, 리브, 유통, 테스트",중앙은행 스웨덴 총재 베스 원장 위원회 상임 대표단 금융감독원 금감원
39,8.0,0.5294,"모바일, 대비, 신용, 감소, 평균, 금액, 체크카드, 건수, 액, 한국은행",발행 화폐 잔액 권 대비 지폐 세뱃돈 차지 한국은행 비중
40,20.0,0.2597,"혁신, 강조, 김, 교수, 위원장, 위원, 주제, 연구원, 원장, 포럼",디지털 혁신 인증 한은 블록체인 분산원장기술 중앙은행 바이오 인공지능 한국은행
41,19.0,0.4886,"데이터, 플랫폼, 혁신, 빅데이터, 마이데이터, 신한, 모바일, 신용, 자산, 인공지능",디지털 플랫폼 강조 회장 모바일 혁신 영업 행장 은행 핀테크
42,17.0,0.4778,"아시아, 베트남, 현지, 진출, 글로벌, 인도네시아, 캄보디아, 체결, 창, 눈",비씨카드 모바일 인도네시아 카드 프로세싱 최초 한경 윤희 인증 카드사
43,9.0,0.2203,"센터, 클라우드, 창업, 교육, 스타트업, 스마트, 선정, 의료, 아이디어, 플랫폼",심사 수상 서민 회장 연금 모바일 한경 다산금융상 증권 은행
44,30.0,0.5003,"앱, 게임, 구글, 통신, 애플, 콘텐츠, 온라인, 휴대폰, 사, 영업",시스 안드로이드 본격 온라인 마무리 꿈 통신망 교두보 상태 전문
45,3.0,0.4625,"블록체인, 인증, 삼성, 플랫폼, 보안, 글로벌, 네트워크, 물류, 스마트, 분산",블록체인 핀테크 위변 은행 법체계 자산관리 시 타임스 장부 디지털
46,27.0,0.6781,"페이, 앱, 모바일, 카드사, 가맹점, 포인트, 계좌, 신한, 출시, 플랫폼",포인트 캐쉬 백 판매자 통합 신문 오프라인 기준 플래닛 프로모션
47,30.0,0.5983,"앱, 게임, 구글, 통신, 애플, 콘텐츠, 온라인, 휴대폰, 사, 영업",꿈 안드로이드 단말기 카운터 마이 오프라인 시스 영업 체결 정상국
48,19.0,0.3046,"데이터, 플랫폼, 혁신, 빅데이터, 마이데이터, 신한, 모바일, 신용, 자산, 인공지능",액티브 시니어 연구소 데이터 소비 모바일 소득 발굴 치열 주의
49,19.0,0.6166,"데이터, 플랫폼, 혁신, 빅데이터, 마이데이터, 신한, 모바일, 신용, 자산, 인공지능",디지털 카드 마케팅 모바일 빅데이터 플랫폼 패러다임 카드사 지급결제 종합
50,11.0,0.4552,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",한국은행 총재 참석자 통화 무단 전재 완화 후회 신년사 자리
51,31.0,0.213,"돈, 교수, 거, 얘기, 과거, 실제, 전문가, 인터넷, 결국, 고민",점포 해 메가 취임 지점 증권사 초대 작년 자본 복합
52,27.0,0.1977,"페이, 앱, 모바일, 카드사, 가맹점, 포인트, 계좌, 신한, 출시, 플랫폼",카드 카드사 사 온라인 현대 통신 휴대폰 과금 대금 블루
53,11.0,0.4098,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",한국은행 총재 시무식 통화 무단 전재 완화 뒤 후회 신년사
54,13.0,0.5225,"분기, 상장, 증권, 주가, 대비, 실적, 매출, 주식, 영업, 연구원",증거금 거래소 주식 증권 증권사 상장 납부 위험 공시 코스닥
55,8.0,0.3219,"모바일, 대비, 신용, 감소, 평균, 금액, 체크카드, 건수, 액, 한국은행",송금 전자금융업자 은행 차지 신종 핀테크 뱅크 모바일 매수 본격
56,19.0,0.2233,"데이터, 플랫폼, 혁신, 빅데이터, 마이데이터, 신한, 모바일, 신용, 자산, 인공지능",디지털 아이 수수료 핀테크 예금 혁신 대체 대출 분산원장기술 금융서비스
57,11.0,0.4552,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",한국은행 총재 별관 통화 무단 전재 완화 후회 신년사 자리
58,4.0,0.4358,"비트코인, 가상자산, 코인, 암호화폐, 자산, 화폐, 하락, 상승, 채굴, 이날",비트코인 중국 위안 최고가 베이징 매입 투자처 특파원 경신 급등
59,10.0,0.4452,"수수료, 카드사, 가맹점, 신용카드, 인하, 신용, 부담, 영세, 우대, 사",카드 카드사 온라인 쇼핑몰 가맹점 수수료 신문 전표 대행 승인
60,12.0,0.4294,"대출, 토스, 보험, 뱅크, 카카오뱅크, 금리, 인터넷, 인터넷전문은행, 신용, 케이",인터넷전문은행 예금자 은행 설치 기금 자산 미흡 보호법 타임스 상대
61,25.0,0.2861,"온라인, 쇼핑몰, 유통, 롯데, 판매, 쇼핑, 아마존, 오픈마켓, 커머스, 오프라인",카드 디지털 현대 프로젝트 마케팅 설립 계획 캠프 문화 번호
62,3.0,0.3064,"블록체인, 인증, 삼성, 플랫폼, 보안, 글로벌, 네트워크, 물류, 스마트, 분산",디지털 혁신 한은 인증 분산원장기술 중앙은행 블록체인 보안 동력 침해
63,11.0,0.3748,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",감시 리스크 지침서 한국은행 원칙 기준 한은 발간 세부 총재
