topic number,label,docs,keywords
0,별첨 개요 일시 장소 개요 일시 일시 장소 국조,268,혁신 금융위 위원회 심사 마련 계획 지정 법 시행 신청
1,관영 특파원 시진핑 베이징 시진핑 주석,172,중국 위안 알리바바 알리페이 위안화 인민은행 위챗 텐센트 홍콩 금지
2,납품 납품 대금 조기 동반성장 자금난 협력사 납품 대금 조기,185,협력사 대금 대출 보증 상생 공감 언론 담보 플러스 신용
3,넥스 레저 플랫폼 넥스 레저 블록체인 플랫폼 넥스 블록체인 플랫폼 넥스 레저 하이퍼레저,228,블록체인 인증 삼성 플랫폼 보안 글로벌 네트워크 물류 스마트 분산
4,비트코인 추이 코인마켓캡 캐시 우드 우드 캐시 우드 아크 캐시 우드 아크 베스트,360,비트코인 가상자산 코인 암호화폐 자산 화폐 하락 상승 채굴 이날
5,두기 거리 두기 방역 식재료 외식업,118,코로나19 배달 코로나 신종 감염증 코로나바이러스 소비 사태 온라인 앱
6,이체 카드 대금 이체 카드 대금 보험료 급여 이체 카드 급여 이체 카드 대금 카드 대금 보험료,330,빅테크 플랫폼 네이버 금융사 계좌 신용 후불결제 진출 허용 전자금융거래법
7,디앱 바이 낸스 오스 스텔라 루멘 루멘,253,암호화폐 코인 블록체인 거래소 토큰 화폐 발행 프로젝트 썸 빗
8,계좌 이체 일평균 앞수표 수표 결제금 액 소액결제망 계좌 이체 뱅킹 계좌 이체,380,모바일 대비 신용 감소 평균 금액 체크카드 건수 액 한국은행
9,민관 합동 전시회 네트 워킹 재생 시상식,266,센터 클라우드 창업 교육 스타트업 스마트 선정 의료 아이디어 플랫폼
10,수수료 우대 수수료 영세가맹점 중소가맹점 가맹점 우대 수수료 카드 수수료 인하,350,수수료 카드사 가맹점 신용카드 인하 신용 부담 영세 우대 사
11,금리정책 물가 상승 압력 통화 완화 기조 국고 단순 매입 수출 호조,306,통화 총재 금리 한국은행 한은 가계 물가 부채 중앙은행 경기
12,메기 케이 뱅크 카카오뱅크 웰컴 저축 웰컴 저축 은행 토스뱅크,214,대출 토스 보험 뱅크 카카오뱅크 금리 인터넷 인터넷전문은행 신용 케이
13,밸류 션 공모가 순매도 코스피 증권가,236,분기 상장 증권 주가 대비 실적 매출 주식 영업 연구원
14,황영기 신탁업 증권사 법인 지급결제 금전 신탁 전업 주의,157,증권사 증권 회장 자본 허용 협회 펀드 법인 운용 금
15,해수부 차관 차관회의 국무회의 오전 시 청사 장관 국무회의 오전 시 장관 국무회의 오전 오전 시 세종,39,오전 시 장관 차관 국회 산업부 개최 농식품부 환경부 청사
16,수령 소액 송금 송금 수취인 환전 입금,130,송금 환전 계좌 대금 수수료 금액 외환 소액 충전 외화
17,미얀마 라오스 현지인 베트남 캄보디아,214,아시아 베트남 현지 진출 글로벌 인도네시아 캄보디아 체결 창 눈
18,중앙은행 발행 화폐 단일원장 바하마 쑤저우 중앙은행 발행 디지털,446,화폐 중앙은행 발행 한국은행 한은 통화 계획 리브 유통 테스트
19,챗 봇 개인정보보호법 신용정보법 챗 마이데이터 맞춤,370,데이터 플랫폼 혁신 빅데이터 마이데이터 신한 모바일 신용 자산 인공지능
20,주제 좌장 축사 토론 패널 토론,265,혁신 강조 김 교수 위원장 위원 주제 연구원 원장 포럼
21,입행 입사 인재 직군 채용,185,채용 직원 인력 경영 회장 은행장 행장 이사 인사 전문
22,탈세자 김동일 탈세자 세무 세무 착수 추징,81,과세 소득 세금 국세청 역외 계좌 스위프트 플랫폼 탈루 탈세
23,사기 유사 수신 거래소 폐쇄 특별법 가상화폐 거래소 폐쇄 시세 조종 유사 수신 행위,277,가상화폐 거래소 가상통화 계좌 금지 비트코인 투기 실명 사기 자금세탁
24,여야 야당 검찰 수사 사퇴 여당,170,국회 법 법안 위원회 머지포인트 통과 민주당 위원장 정무 사태
25,신선 식품 새벽 배송 신선 롯 데온 데온,202,온라인 쇼핑몰 유통 롯데 판매 쇼핑 아마존 오픈마켓 커머스 오프라인
26,기사 디지털 데일리 잔액 조회 내역 잔액 조회 내역 조회 계좌 실명 조회 조회 내역 조회,243,오픈뱅킹 계좌 보안 오픈 금융결제원 조회 이체 데일리 앱 뱅킹
27,마그네틱 마그네틱 보안 전송 실물 플라스틱 카드 바코드 스캔,414,페이 앱 모바일 카드사 가맹점 포인트 계좌 신한 출시 플랫폼
28,우버 아마존 최고 경영자 파트너십 소프트,220,글로벌 리플 비자 페이팔 송금 페이스북 스타트업 유럽 플랫폼 인수
29,청산업 청산업 신설 빅브라더 민주당 발의 전금법 개정안 민주당 발의 전금법,330,개정안 한은 금융위 전금법 청산 빅테크 금융결제원 위원회 위원장 한국은행
30,오프라인 부 통신망 애플 앱 스토어 효성 통사 게임,128,앱 게임 구글 통신 애플 콘텐츠 온라인 휴대폰 사 영업
31,경제학자 거 역사 그때 얘기,220,돈 교수 거 얘기 과거 실제 전문가 인터넷 결국 고민
32,도지사 박원순 김경수 경남 광역 김경수 경남 지사,168,제로페이 소상공인 후보 서울시 지방 북한 박 공약 공공 부산
33,분사 보험 사 설립 최인혁 네이버 통장 출시 손해 보험 사 설립,191,네이버 카카오페이 카카오 페이 플랫폼 인수 진출 네이버파이낸셜 자회사 계열사
