Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,3.0,0.369,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",은행 펀드 상업 주식 원점 불변 비난 무능 부정과 위험
1,7.0,0.2656,"법, 인공지능, 보험, 책임, 기초, 장래, 거대, 이원, 리, 테일",가상화폐 실행 법 비트코인 법화 통제 대한민국 기초 종래 작용
2,3.0,0.2151,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",은행 중간 계좌 직접 양상 위험 경험 정확 폰 육성
3,1.0,0.5321,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",화폐 은행 혁신 자본 업태 완화 발행 왜곡 철폐 글
4,6.0,0.7384,"가상자산, 보안, 사이버, 범죄, 공격, 거래소, 위원회, 자금세탁, 조치, 차원",공학 보안 실수 심리 조작 공격 액세스 기밀 용어 피해자
5,9.0,0.7527,"인터넷, 예금, 증권, 카드, 인도, 계좌, 경로, 모형, 상거래, 인증",모형 지급결제 금융망 산출 투입 점수 지수 환산 데이터 혼합
6,3.0,0.7646,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",지급결제 완료 완결 의의 채무 실제 행위 리스크 화폐 장치
7,5.0,0.3014,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",지급결제 후생 폰 가맹점 카드사 보안 모바일 신 마련 저해
8,9.0,0.7927,"인터넷, 예금, 증권, 카드, 인도, 계좌, 경로, 모형, 상거래, 인증",지급결제 경로 겹 시기 재량 정치 존모 거부 신제 양상
9,0.0,0.6993,"혁신, 한국은행, 네트워크, 자본, 분산원장기술, 단어, 소액결제, 디파이, 자본주의, 노드",분산원장기술 분산원장 자본 측정 금융서비스 실용 시 조정 마지막 긍정
10,5.0,0.4362,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",핀테크 스타일 데이터 가상화폐 인터넷 혁명 신조어 소프트웨어 성공 통신
11,1.0,0.5072,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",통화 가상화폐 디지털 법정통화 발행 엔 균형 도모 협조 원인
12,9.0,0.415,"인터넷, 예금, 증권, 카드, 인도, 계좌, 경로, 모형, 상거래, 인증",지급결제 워드 신용카드 일반인 보편 모바일 도출 빈도 키 키워드
13,4.0,0.6161,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",무현금 은행 이노베이션 법 대책 외국 비중 현금통화 오픈 일체
14,3.0,0.4572,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",블록체인 분산 플랫폼 데이터 컨소시엄 운용 오픈 이노베이션 사물 물건
15,2.0,0.7658,"카드, 발행, 환어음, 전환사채, 카드사, 신주인수권, 추심, 수수료, 가맹점, 응답자",카드 수수료 신용 카드사 마케팅 응답자 가맹점 조정 인하 가구
16,1.0,0.29,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",디지털 은행 법정통화 통화 동전 위험 화폐 데이터 중앙은행 증권
17,4.0,0.4362,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",핀테크 벤처 테크놀로지 위험 붐 AI 데이터 업종 무기 알고리즘
18,6.0,0.2681,"가상자산, 보안, 사이버, 범죄, 공격, 거래소, 위원회, 자금세탁, 조치, 차원",핀테크 보안 융합 사이버 단체 성패 공 싱가포르 통합 참고
19,5.0,0.3079,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",핀테크 리스크 빅 개도국 데이터 중앙은행 글로벌 흥국 이웃 유럽
20,0.0,0.7893,"혁신, 한국은행, 네트워크, 자본, 분산원장기술, 단어, 소액결제, 디파이, 자본주의, 노드",지급결제 한국은행 단어 네트워크 노드 분산원장기술 디지털 점검 언어 연결망
21,2.0,0.3367,"카드, 발행, 환어음, 전환사채, 카드사, 신주인수권, 추심, 수수료, 가맹점, 응답자",은행 지급결제 북한 조선 무현금 중앙은행 카드 외환 사항 모바일
22,8.0,0.3404,"암호화폐, 법, 가상화폐, 비트코인, 분산, 가상통화, 틀, 청구, 역외, 파산",가상화폐 핀테크 블록체인 옴니 혁신 법 송금 행동 구매 연구자
23,3.0,0.383,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",데이터 블록체인 비트코인 집행 금리 발행 갱신 청산 증권 부정
24,2.0,0.7284,"카드, 발행, 환어음, 전환사채, 카드사, 신주인수권, 추심, 수수료, 가맹점, 응답자",환어음 은행 추심 선적 수입자 무역 서류 대금 매입 어카운트
25,8.0,0.7203,"암호화폐, 법, 가상화폐, 비트코인, 분산, 가상통화, 틀, 청구, 역외, 파산",법 프랭크 월스트리트 도드 파산 개혁 위협 손실 행정부 버락
26,0.0,0.4452,"혁신, 한국은행, 네트워크, 자본, 분산원장기술, 단어, 소액결제, 디파이, 자본주의, 노드",소액결제 은행 우리나라 참고 자본주의 소액 각지 돈 스킴 체제
27,3.0,0.4838,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",블록체인 송금 자산 지탱 운용 대출 크기 장애 융합 컨소시엄
28,6.0,0.7687,"가상자산, 보안, 사이버, 범죄, 공격, 거래소, 위원회, 자금세탁, 조치, 차원",사이버 보안 차원 공격 범죄 계획 인터넷 피해 수립 공간
