topic number,label,keywords
0,혁신 자본 네트워크 디지털 한국은행,혁신 한국은행 네트워크 자본 분산원장기술 단어 소액결제 디파이 자본주의 노드
1,중앙은행 중앙은행 디지털 통화 발행 디지털 통화 발행,통화 중앙은행 발행 화폐 암호자산 코인 스테이블 법정통화 페이스북 가상화폐
2,발행 증권 카드 책임 송금,카드 발행 환어음 전환사채 카드사 신주인수권 추심 수수료 가맹점 응답자
3,블록체인 비트코인 분산 자산 혁신,자산 비트코인 리스크 플랫폼 위험 보안 분산 토큰 네트워크 암호
4,오픈 오픈 이노베이션 스마트폰 이노베이션 디지털,무현금 오픈 모바일 스마트폰 송금 이노베이션 테크놀로지 우리나라 신용카드 벤처
5,인공지능 데이터 빅 가속 인터넷,데이터 빅 중국 대출 인공지능 혁명 빅데이터 신용 금융서비스 인터넷
6,자금세탁 비트코인 사이버 은행 보안,가상자산 보안 사이버 범죄 공격 거래소 위원회 자금세탁 조치 차원
7,법 책임 빅데이터 은행 종래,법 인공지능 보험 책임 기초 장래 거대 이원 리 테일
8,청구 암호화폐 틀 종래 토큰,암호화폐 법 가상화폐 비트코인 분산 가상통화 틀 청구 역외 파산
9,인터넷 계좌 은행 카드 데이터,인터넷 예금 증권 카드 인도 계좌 경로 모형 상거래 인증
