Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,1.0,0.1914,"페이, 앱, 모바일, 플랫폼, 가맹점, 카드사, 계좌, 출시, 오프라인, 네이버",은행 P2P 대출 페이 모바일 블록체인 로보어드바이저 관심 인터넷 뱅크
1,19.0,0.6296,"화폐, 발행, 중앙은행, 통화, 한국은행, 한은, 리브, 계획, 페이스북, 유통",디지털 화폐 발행 중앙은행 대비 지급결제 은행 세부 한국은행 한은
2,15.0,0.7359,"클라우드, 보안, 데이터, 데일리, 쿠콘, 글로벌, 차세대, 센터, 통합, 플랫폼",스위프트 은행 지급결제 역외 표준 글로벌 분산원장기술 대사 메시징 뒷받침
3,1.0,0.3385,"페이, 앱, 모바일, 플랫폼, 가맹점, 카드사, 계좌, 출시, 오프라인, 네이버",카카오페이 카카오 가맹점 모바일 핀테크 공개 별도 멜론 문화일보 총괄
4,9.0,0.2378,"대출, 신용, 금리, 담보, 예금, 보증, 이자, 등급, 한도, 자산",은행 계좌 실장 금리 기준 하락세 대출 현행 자산 연구원
5,23.0,0.3709,"증권사, 증권, 회장, 자본, 허용, 협회, 법인, 운용, 펀드, 법",은행 회장 신년 간담회 회원 인터넷전문은행 사 실장 핀테크 하영구
6,23.0,0.2551,"증권사, 증권, 회장, 자본, 허용, 협회, 법인, 운용, 펀드, 법",은행 신문 지급결제 연합 실장 간담회 원장 은행업 계좌 핀테크
7,23.0,0.2364,"증권사, 증권, 회장, 자본, 허용, 협회, 법인, 운용, 펀드, 법",은행 자본 자산 실장 리스크 금리 연구원 악화 발굴 대출
8,17.0,0.3841,"대통령, 북한, 법, 머지포인트, 제재, 국회, 위원회, 사태, 피해, 등록",부도 대통령 한보 조선 당시 대선 기아차 한계 은행 조정
9,1.0,0.6157,"페이, 앱, 모바일, 플랫폼, 가맹점, 카드사, 계좌, 출시, 오프라인, 네이버",페이 삼성 신세계 닷컴 신문 모바일 온라인 삼성전자 유통 몰
10,9.0,0.3365,"대출, 신용, 금리, 담보, 예금, 보증, 이자, 등급, 한도, 자산",연체 대출 법 규율 상환 채무 통신 상거래 조정 전자화폐
11,33.0,0.2955,"통화, 금리, 총재, 한국은행, 물가, 한은, 경기, 완화, 코로나19, 중앙은행",은행 자산 실장 금리 발굴 리스크 대출 조회 아시아 계좌
12,33.0,0.2742,"통화, 금리, 총재, 한국은행, 물가, 한은, 경기, 완화, 코로나19, 중앙은행",은행 금리 실장 임 상승 대내외 강조 대출 하반기 추세
13,33.0,0.2357,"통화, 금리, 총재, 한국은행, 물가, 한은, 경기, 완화, 코로나19, 중앙은행",실장 임 은행 발굴 연구원 대출 금리 주장 대내외 대비
14,21.0,0.2454,"플랫폼, 데이터, 혁신, 빅데이터, 신한, 모바일, 경영, 마케팅, 인공지능, 역량",은행 주장 대출 계좌 지급결제 단순 자산 뜻 발굴 플랫
15,0.0,0.4205,"블록체인, 플랫폼, 삼성, 인증, 네트워크, 글로벌, 보안, 물류, 분산, 컨소시엄",블록체인 은행 송금 글로벌 중개 핀테크 수수료 리플 혁명 무역
16,5.0,0.359,"교수, 주제, 위원, 개최, 포럼, 세미나, 센터, 강조, 김, 연구원",핀테크 샌드박스 중국 교수 글로벌 포럼 혁신 센터 변호사 해먼드
17,22.0,0.4223,"모바일, 아시아, 뱅킹, 창, 동전, 눈, 고령, 기부, 소외, 금지",화폐 손상 지폐 디지털 폐기 한은 원권 권 은행 카드
18,21.0,0.2053,"플랫폼, 데이터, 혁신, 빅데이터, 신한, 모바일, 경영, 마케팅, 인공지능, 역량",대출 핀테크 은행 송금 일보 디지털 한은 한국은행 예금 빅데이터
19,6.0,0.6275,"중국, 위안, 알리바바, 구글, 알리페이, 앱, 애플, 위챗, 위안화, 인민은행",위안 중국 은행 위안화 송금 자본 외환 유출 통제 환율
20,25.0,0.6898,"수수료, 카드사, 가맹점, 신용카드, 인하, 신용, 부담, 영세, 우대, 사",수수료 카드사 카드 정률제 밴사 대리점 기준 신용카드 인하 가맹점
21,15.0,0.3058,"클라우드, 보안, 데이터, 데일리, 쿠콘, 글로벌, 차세대, 센터, 통합, 플랫폼",뱅크 망 금융결제원 디지털 은행 실시간 데일리 이상일 개시 타행
22,25.0,0.5645,"수수료, 카드사, 가맹점, 신용카드, 인하, 신용, 부담, 영세, 우대, 사",카드 수수료 차별 물건 할인 값 가맹점 카드사 금지 신용카드
23,12.0,0.3907,"후보, 채용, 박, 지방, 직원, 인력, 일자리, 서울시, 공약, 시민",한국은행 채용 지급결제 지원자 팀장 화폐 디지털 경력 클릭 근무
24,25.0,0.326,"수수료, 카드사, 가맹점, 신용카드, 인하, 신용, 부담, 영세, 우대, 사",카드 카드사 소액결제 가맹점 금액 수수료 껌 신용 소액 거부
25,30.0,0.4683,"대비, 금액, 신용, 체크카드, 평균, 액, 건수, 하루, 감소, 모바일",카드 액 결제금 일평균 상반기 디지털 화폐 동전 블록체인 동기
26,30.0,0.5895,"대비, 금액, 신용, 체크카드, 평균, 액, 건수, 하루, 감소, 모바일",수표 상반기 평균 카드 앞수표 발행 권 어치 하루 모바일
27,1.0,0.3435,"페이, 앱, 모바일, 플랫폼, 가맹점, 카드사, 계좌, 출시, 오프라인, 네이버",송금 은행 외화 모바일 카드사 카드 앱 통합 플랫폼 출시
28,9.0,0.232,"대출, 신용, 금리, 담보, 예금, 보증, 이자, 등급, 한도, 자산",교육 신용 연금 맞춤 협의회 노후 계층 취약 수요자 센터
29,6.0,0.2636,"중국, 위안, 알리바바, 구글, 알리페이, 앱, 애플, 위챗, 위안화, 인민은행",중국 트럼프 대통령 완화 무역 일자리 공장 외국 자동차 감세
30,20.0,0.3097,"글로벌, 현지, 진출, 베트남, 인도네시아, 캄보디아, 인도, 아시아, 비자, 싱가포르",알리페이 카드 페이팔 진출 법인 계좌 온라인 중국 합작 연합
31,10.0,0.2195,"돈, 거, 얘기, 주도, 인터넷, 결국, 고민, 교수, 실제, 과거",카드 수수료 송금 핀테크 신종 신용카드 신용 편의 계좌 가상화폐
32,10.0,0.2855,"돈, 거, 얘기, 주도, 인터넷, 결국, 고민, 교수, 실제, 과거",제품 설 연휴 아나운서 시중 포켓 길 권 게임 인기
33,22.0,0.5376,"모바일, 아시아, 뱅킹, 창, 동전, 눈, 고령, 기부, 소외, 금지",권 화폐 발행 잔액 지폐 동전 시중 작년 환수 한은
34,22.0,0.5562,"모바일, 아시아, 뱅킹, 창, 동전, 눈, 고령, 기부, 소외, 금지",동전 발행 거스름돈 한은 한국은행 환수 시범 편의점 유통 충전
35,25.0,0.6488,"수수료, 카드사, 가맹점, 신용카드, 인하, 신용, 부담, 영세, 우대, 사",수수료 카드사 카드 밴사 승인 정률제 주장 혁신 인하 건수
36,22.0,0.4249,"모바일, 아시아, 뱅킹, 창, 동전, 눈, 고령, 기부, 소외, 금지",동전 발행 한은 카드 은행 돈 거스름돈 편의점 마이너스 충전
37,6.0,0.5221,"중국, 위안, 알리바바, 구글, 알리페이, 앱, 애플, 위챗, 위안화, 인민은행",중국 자본 수입 통제 위안 위안화 수출 유출 무역 약세
38,16.0,0.2116,"한국은행, 한은, 언론, 공감, 금지, 중앙은행, 리스크, 통신사, 총재, 금융망",중앙은행 스웨덴 총재 베스 원장 위원회 상임 대표단 금융감독원 금감원
39,22.0,0.3593,"모바일, 아시아, 뱅킹, 창, 동전, 눈, 고령, 기부, 소외, 금지",발행 화폐 잔액 권 대비 지폐 세뱃돈 차지 한국은행 비중
40,0.0,0.294,"블록체인, 플랫폼, 삼성, 인증, 네트워크, 글로벌, 보안, 물류, 분산, 컨소시엄",디지털 혁신 인증 한은 블록체인 분산원장기술 중앙은행 바이오 인공지능 한국은행
41,21.0,0.5809,"플랫폼, 데이터, 혁신, 빅데이터, 신한, 모바일, 경영, 마케팅, 인공지능, 역량",디지털 플랫폼 강조 회장 모바일 혁신 영업 행장 은행 핀테크
42,20.0,0.4043,"글로벌, 현지, 진출, 베트남, 인도네시아, 캄보디아, 인도, 아시아, 비자, 싱가포르",비씨카드 모바일 인도네시아 카드 프로세싱 최초 한경 윤희 인증 카드사
43,21.0,0.2236,"플랫폼, 데이터, 혁신, 빅데이터, 신한, 모바일, 경영, 마케팅, 인공지능, 역량",심사 수상 서민 회장 연금 모바일 한경 다산금융상 증권 은행
44,1.0,0.5582,"페이, 앱, 모바일, 플랫폼, 가맹점, 카드사, 계좌, 출시, 오프라인, 네이버",시스 안드로이드 본격 온라인 마무리 꿈 통신망 교두보 상태 전문
45,0.0,0.4814,"블록체인, 플랫폼, 삼성, 인증, 네트워크, 글로벌, 보안, 물류, 분산, 컨소시엄",블록체인 핀테크 위변 은행 법체계 자산관리 시 타임스 장부 디지털
46,13.0,0.6182,"제로페이, 배달, 소상공인, 할인, 가맹점, 포인트, 수수료, 앱, 시, 서울시",포인트 캐쉬 백 판매자 통합 신문 오프라인 기준 플래닛 프로모션
47,3.0,0.4421,"스마트, 게임, 자동차, 현대, 콘텐츠, 제품, 삼성, 삼성전자, 판매, 로봇",꿈 안드로이드 단말기 카운터 마이 오프라인 시스 영업 체결 정상국
48,21.0,0.475,"플랫폼, 데이터, 혁신, 빅데이터, 신한, 모바일, 경영, 마케팅, 인공지능, 역량",액티브 시니어 연구소 데이터 소비 모바일 소득 발굴 치열 주의
49,21.0,0.9185,"플랫폼, 데이터, 혁신, 빅데이터, 신한, 모바일, 경영, 마케팅, 인공지능, 역량",디지털 카드 마케팅 모바일 빅데이터 플랫폼 패러다임 카드사 지급결제 종합
50,16.0,0.4358,"한국은행, 한은, 언론, 공감, 금지, 중앙은행, 리스크, 통신사, 총재, 금융망",한국은행 총재 참석자 통화 무단 전재 완화 후회 신년사 자리
51,21.0,0.2643,"플랫폼, 데이터, 혁신, 빅데이터, 신한, 모바일, 경영, 마케팅, 인공지능, 역량",점포 해 메가 취임 지점 증권사 초대 작년 자본 복합
52,25.0,0.286,"수수료, 카드사, 가맹점, 신용카드, 인하, 신용, 부담, 영세, 우대, 사",카드 카드사 사 온라인 현대 통신 휴대폰 과금 대금 블루
53,16.0,0.68,"한국은행, 한은, 언론, 공감, 금지, 중앙은행, 리스크, 통신사, 총재, 금융망",한국은행 총재 시무식 통화 무단 전재 완화 뒤 후회 신년사
54,23.0,0.3242,"증권사, 증권, 회장, 자본, 허용, 협회, 법인, 운용, 펀드, 법",증거금 거래소 주식 증권 증권사 상장 납부 위험 공시 코스닥
55,30.0,0.2261,"대비, 금액, 신용, 체크카드, 평균, 액, 건수, 하루, 감소, 모바일",송금 전자금융업자 은행 차지 신종 핀테크 뱅크 모바일 매수 본격
56,19.0,0.2235,"화폐, 발행, 중앙은행, 통화, 한국은행, 한은, 리브, 계획, 페이스북, 유통",디지털 아이 수수료 핀테크 예금 혁신 대체 대출 분산원장기술 금융서비스
57,16.0,0.6694,"한국은행, 한은, 언론, 공감, 금지, 중앙은행, 리스크, 통신사, 총재, 금융망",한국은행 총재 별관 통화 무단 전재 완화 후회 신년사 자리
58,8.0,0.453,"비트코인, 가상자산, 코인, 암호화폐, 자산, 하락, 상승, 이날, 채굴, 화폐",비트코인 중국 위안 최고가 베이징 매입 투자처 특파원 경신 급등
59,25.0,0.4035,"수수료, 카드사, 가맹점, 신용카드, 인하, 신용, 부담, 영세, 우대, 사",카드 카드사 온라인 쇼핑몰 가맹점 수수료 신문 전표 대행 승인
60,11.0,0.3313,"송금, 뱅크, 카카오뱅크, 인터넷전문은행, 인터넷, 환전, 케이, 수수료, 대출, 외환",인터넷전문은행 예금자 은행 설치 기금 자산 미흡 보호법 타임스 상대
61,21.0,0.345,"플랫폼, 데이터, 혁신, 빅데이터, 신한, 모바일, 경영, 마케팅, 인공지능, 역량",카드 디지털 현대 프로젝트 마케팅 설립 계획 캠프 문화 번호
62,16.0,0.2627,"한국은행, 한은, 언론, 공감, 금지, 중앙은행, 리스크, 통신사, 총재, 금융망",디지털 혁신 한은 인증 분산원장기술 중앙은행 블록체인 보안 동력 침해
63,16.0,0.8636,"한국은행, 한은, 언론, 공감, 금지, 중앙은행, 리스크, 통신사, 총재, 금융망",감시 리스크 지침서 한국은행 원칙 기준 한은 발간 세부 총재
64,16.0,0.6856,"한국은행, 한은, 언론, 공감, 금지, 중앙은행, 리스크, 통신사, 총재, 금융망",감시 한은 지침서 원칙 권혜민 리스크 기준 노 한국은행 국제결제은행
65,21.0,0.4607,"플랫폼, 데이터, 혁신, 빅데이터, 신한, 모바일, 경영, 마케팅, 인공지능, 역량",카드 블루 넛 카드사 현대 수수료 온라인 사 쇼핑몰 자회사
66,11.0,0.3729,"송금, 뱅크, 카카오뱅크, 인터넷전문은행, 인터넷, 환전, 케이, 수수료, 대출, 외환",은행 신용 대출 뱅크 데이터 인터넷 카카오뱅크 전문 예정 금리
