topic number,label,docs,keywords
0,넥스 레저 플랫폼 넥스 레저 블록체인 플랫폼 넥스 블록체인 플랫폼 넥스 레저 하이퍼레저,237,블록체인 플랫폼 삼성 인증 네트워크 글로벌 보안 물류 분산 컨소시엄
1,마그네틱 마그네틱 보안 전송 실물 플라스틱 카드 삼성 페이 삼성전자 근거리무선통신,417,페이 앱 모바일 플랫폼 가맹점 카드사 계좌 출시 오프라인 네이버
2,가상화폐 거래소 폐쇄 시세 조종 사기 유사 수신 거래소 폐쇄 특별법 유사 수신 행위,284,가상화폐 거래소 가상통화 비트코인 계좌 법 금지 투기 가상자산 자금세탁
3,주행 패션 다이오드 발광 다이오드 색상,155,스마트 게임 자동차 현대 콘텐츠 제품 삼성 삼성전자 판매 로봇
4,김동일 탈세자 세무 착수 추징 탈세자 세무,74,소득 과세 세금 국세청 계좌 탈루 탈세 신고 플랫폼 세무
5,주제 토론 세션 패널 토론 패널,189,교수 주제 위원 개최 포럼 세미나 센터 강조 김 연구원
6,즈푸바오 상하이 특파원 훙 알리바바 창업자 마윈,176,중국 위안 알리바바 구글 알리페이 앱 애플 위챗 위안화 인민은행
7,청산업 청산업 신설 빅브라더 은성수 위원장 한은 발의 전금법 개정안,366,개정안 금융위 한은 전금법 국회 청산 빅테크 법안 위원회 금융결제원
8,비트코인 추이 코인마켓캡 캐시 우드 우드 캐시 우드 아크 베스트 캐시 우드 아크,351,비트코인 가상자산 코인 암호화폐 자산 하락 상승 이날 채굴 화폐
9,신보 담보물 동산 담보 법 동산 담보 신용보증기금,139,대출 신용 금리 담보 예금 보증 이자 등급 한도 자산
10,경제학자 거 역사 나카모토 얘기,201,돈 거 얘기 주도 인터넷 결국 고민 교수 실제 과거
11,중신 용자 중신 용자 금리 중신 은행 케이 뱅크 용자 금리 대출,145,송금 뱅크 카카오뱅크 인터넷전문은행 인터넷 환전 케이 수수료 대출 외환
12,도지사 고용 노동부 어린이집 공약 안철수 후보,132,후보 채용 박 지방 직원 인력 일자리 서울시 공약 시민
