topic number,label,keywords
0,밸류 션,수익 영업 상장 분기 성장 대비 주가 이익 실적 매출 증권 증가 부문 기록 전망 지난해 연구원 기준 예상 상승
1,입점,온라인 배달 앱 쇼핑몰 상품 구글 판매 쇼핑 업계 커머스 유통 매출 오프라인 게임 아마존 사업자 주문 오픈마켓 쿠팡 운영
2,토스뱅크,토스 대출 뱅크 보험 카카오뱅크 카카오 카카오페이 인터넷 인터넷전문은행 상품 대표 케이 네이버파이낸셜 출범 비바리퍼블리카 송금 진출 계획 토스뱅크 금리
3,제롬,중앙은행 발행 통화 미국 국가 수단 가치 달러 세계 자산 중국 현금 페이스북 리브 국제 법정 도입 각국 코인 스테이블
4,행태 조사,현금 모바일 아시아 수단 조사 뱅킹 동전 비율 창 눈 한국은행 지난해 비중 보고서 유통 결과 고령 인터넷 권 감소
5,김동일,송금 해외 환전 소득 조사 계좌 국세청 외환 과세 세금 대금 사업자 달러 탈루 소액 탈세 신고 외화 세무 대상
6,리눅스,보안 인증 개발 삼성 클라우드 적용 솔루션 관리 구축 글로벌 데일리 활용 업무 도입 처리 운영 표준 통합 계약 참여
7,전자 지급 거래 청산,개정안 빅테크 금융위 전금법 한은 청산 금융결제원 국회 감독 위원회 전자금융거래법 관리 업무 위원장 한국은행 권한 보호 외부 제도 입장
8,동남아,글로벌 해외 미국 세계 일본 진출 현지 달러 중국 국가 인도네시아 인도 성장 규모 인수 영국 설립 대표 비자 아시아
9,네트 워킹,지원 채용 분야 센터 진행 행사 개최 전문 교육 대표 팀 예정 인력 주제 창업 부문 직원 발표 아이디어 전문가
10,신탁업 법,증권사 증권 회장 자본 업계 업무 허용 협회 법인 미래에셋대우 운동장 운용 법 금 신탁 초대 황 신탁업 펀드 주식
11,챗 봇,데이터 활용 빅데이터 분석 분야 변화 구축 시대 개발 개인 성장 인공지능 혁명 신문 중심 모바일 소비자 전략 비즈니스 상품
12,여전사,위원장 업계 강조 강화 확대 경쟁 지원 대응 변화 위원 김 빅테크 연구 제도 방안 적극 노력 정책 감독 보호
13,파일럿 시스템,한국은행 한은 연구 중앙은행 발행 계획 테스트 운영 검토 추진 진행 도입 환경 구축 업무 보고서 참여 단계 분산원장 방식
14,국무회의 오전 시 정부서울청사,오전 시 장관 오후 회의 차관 국회 산업부 개최 농식품부 청사 환경부 부총리 세종 해수부 기재부 동향 금 위원회 정책
15,시세 조종,가상화폐 거래소 가상 통화 자금 계좌 투자자 투기 확인 수단 세탁 일본 가상자산 사기 법 실명 해킹 인정 가격 방지
16,메인 넷,코인 리플 토큰 거래소 대표 활용 네트워크 프로젝트 송금 참여 자산 중앙 발행 개발 가치 설명 썸 세계 공개 체인
17,소액결제망 계좌,증가 지난해 대비 금액 감소 분기 코로나19 평균 규모 상반기 체크카드 액 실적 건수 모바일 하루 일평균 신용카드 온라인 비중
18,추이 코인마켓캡,달러 가격 가상자산 코인 미국 자산 투자자 하락 상승 이날 가치 최대 최고 거래소 기록 시 펀드 테슬라 세계 전망
19,야당,의원 국회 후보 법안 민주당 법 위원회 국민 박 정책 머지포인트 정무 지적 대통령 통과 인사 사태 입장 위원장 논란
20,입력,앱 모바일 가맹점 출시 포인트 방식 계좌 오프라인 스마트폰 혜택 제휴 등록 신한 온라인 수단 코드 머니 할인 시 신용카드
21,우대 수수료 적용,가맹점 비용 신용카드 제로페이 인하 업계 부담 수익 사업자 적용 소비자 소상공인 영세 우대 혜택 사 관계자 밴사 매출 마케팅
22,임영진 신한 카드 사장,그룹 신한 전략 업무 사장 추진 현대 확대 대표 계획 회장 강화 통합 경영 미래 글로벌 계열사 구축 업계 베트남
23,담보물,대출 자금 상품 금리 담보 펀드 예금 증권 보증 평가 이자 투자자 자산 채권 부동산 주식 관리 대금 보험 기간
24,별첨,금융위 제도 업무 개선 위원회 법 방안 마련 등록 보호 검토 규정 대상 개정 추진 심사 시행 허용 적용 내용
25,이동권,계좌 오픈뱅킹 마이데이터 앱 빅테크 조회 이체 데이터 금융사 도입 관리 기능 사업자 개방 송금 후불결제 오픈 개인 참여 금융결제원
26,농가,지원 지역 협력사 상생 코로나19 규모 지방 소상공인 대금 협력 운영 확대 중소 플러스 계획 공공 도입 서울시 자금 부산
27,경제학자,돈 상황 이유 부분 나라 중요 교수 시작 미래 지적 거 현실 측면 위기 입장 얘기 가치 미국 시대 세계
28,외교,중국 위안 알리바바 알리페이 캄보디아 협력 북한 미국 위챗 국제 국가 당국 위안화 인민은행 무역 그룹 현지 대통령 텐센트 앤트
29,코로나19 전개 상황,정책 통화 총재 금리 안정 한국은행 상황 코로나19 한은 가계 물가 경기 완화 영향 성장 중앙은행 부채 전망 상승 지속
