label,term,tf-idf
2-s2.0-850737711751,sct,0.12044499403176374
2-s2.0-851265328431,bill,0.11833449340153919
2-s2.0-851084055291,psp,0.11332803406532024
2-s2.0-851084055291,collapse,0.11332803406532024
2-s2.0-851084055291,june,0.11332803406532024
2-s2.0-851084055291,wirecard,0.11332803406532024
2-s2.0-851081595201,wallet,0.10323856631294034
2-s2.0-850592041081,afford,0.10231003075341409
2-s2.0-851084055291,provider,0.09794341868070486
nan31,resolution,0.09530422476415891
2-s2.0-850906997991,cash,0.09066293563077989
2-s2.0-850906997991,premature,0.08875087005115441
2-s2.0-850592041081,movement,0.08842114186452521
2-s2.0-850591760771,giants,0.08259085305035228
2-s2.0-850906997991,consumers,0.07900865959025245
2-s2.0-850737711751,saw,0.07673252306506056
nan1,domain,0.07574624384828602
2-s2.0-850987965721,interventions,0.07440729509339208
nan4,layer,0.07402700249123041
nan23,diffusion,0.07317611740512431
2-s2.0-850641822831,gdp,0.07180062647645656
2-s2.0-851081622441,spring,0.07134452507744131
2-s2.0-850906997991,finds,0.06965493630752603
2-s2.0-850987560971,function,0.06882510501887368
2-s2.0-850737711751,months,0.06631585639839391
2-s2.0-850737711751,path,0.06631585639839391
2-s2.0-850737711751,launch,0.06631585639839391
nan31,continuity,0.06616457078663905
2-s2.0-850987965721,fraud,0.06615639718554267
2-s2.0-850987601881,fmis,0.0660656700829221
2-s2.0-850880314141,inst,0.06594706897556646
2-s2.0-850907391811,outcomes,0.06577073405576621
2-s2.0-850907391811,jordan,0.06577073405576621
2-s2.0-850641822831,rtgs,0.0652033050397518
2-s2.0-850739389451,entity,0.06512526959036184
2-s2.0-850856287891,actors,0.06467171947895453
2-s2.0-850906997991,reports,0.06465448450898574
nan33,bonds,0.0644284741770771
2-s2.0-850641817871,sensitivities,0.06405497577605057
2-s2.0-850732718581,preference,0.06366322214245815
2-s2.0-850739235571,software,0.06350446098998319
nan18,confidentiality,0.06323023359867652
2-s2.0-850721685231,ai,0.06241492366907662
nan30,gdp,0.06195934028463081
2-s2.0-850737711751,inst,0.06022249701588187
nan19,scheme,0.05960849439243435
2-s2.0-850592176251,cash,0.05920977126673966
2-s2.0-850641776421,cash,0.059158991016939715
2-s2.0-850713801591,cartel,0.05869579453582323
2-s2.0-850713801591,prices,0.05869579453582323
2-s2.0-851265415781,scheme,0.05770469886668479
2-s2.0-850907469241,banking,0.05737284070279971
nan33,settlement,0.05735614063548938
2-s2.0-850880259041,activities,0.05708853419410442
2-s2.0-850907391811,attempts,0.05684216262719478
nan13,ratings,0.05655525692319244
nan13,breach,0.05655525692319244
nan17,transport,0.056339134639343494
nan30,consumption,0.056266274584181604
nan8,vote,0.0562314672843192
2-s2.0-850987211051,sequences,0.05594675099427201
2-s2.0-850737711751,sepa,0.05589918973172725
2-s2.0-851081622441,consumers,0.055573887677889434
2-s2.0-850641817871,language,0.05535932360213752
2-s2.0-850641817871,readers,0.05535932360213752
2-s2.0-850906997991,discusses,0.05492731677335195
nan26,goal,0.054700412482023376
nan9,fraud,0.054676664579106825
nan23,innovation,0.054459008777563274
2-s2.0-851081618991,blueprint,0.05436400158114993
nan8,changes,0.054335378506690256
2-s2.0-850642149501,m2m,0.054164133928278055
2-s2.0-850590971891,detection,0.054164133928278055
2-s2.0-850741012861,versus,0.05379990603588012
nan10,victims,0.05280517716305244
2-s2.0-850590835801,gdpr,0.05261658724461296
2-s2.0-850591760771,forays,0.05261658724461296
2-s2.0-850591760771,finances,0.05261658724461296
2-s2.0-850737711751,progress,0.05254577207665055
2-s2.0-850855809951,banking,0.05247094937921514
2-s2.0-850907469241,platforms,0.05242718984127916
2-s2.0-851265542671,model,0.052415630585413604
nan20,money,0.05210978385994678
2-s2.0-850880265521,zelle,0.052058814234952754
2-s2.0-850987560971,compliance,0.05169037528134768
2-s2.0-851081795851,products,0.05164908654633229
2-s2.0-850855782791,countries,0.05159990032810938
2-s2.0-851245902751,parameters,0.05134130817940173
2-s2.0-850713937611,dlt,0.051303271646709524
2-s2.0-850641822831,data,0.05117417339231374
2-s2.0-851265415781,turn,0.050937089987001416
nan11,methods,0.05052013701217912
nan28,value,0.04986858361970306
2-s2.0-850790448381,leis,0.04954336353498689
2-s2.0-850592041081,card,0.049430101280391825
2-s2.0-850591019351,credit,0.049372154829693246
2-s2.0-850641770861,ecash,0.04921818851389186
2-s2.0-850591834471,assets,0.048784747402234686
2-s2.0-850590822571,remittance,0.04866464405323788
2-s2.0-850856225281,choice,0.048659750347509204
