label,term,tf-idf
지급결제시스템의 경제적 효과 분석 -금융서비스산업을 중심으로-1,유발,0.19935504381786107
골프회원권 가치 결정 요인과 지급결제 개선 방안1,회원권,0.14443069501089933
영국의 사이버 금융 보안 대책에 관한 연구1,사이버,0.13316885994949035
골프회원권 가치 결정 요인과 지급결제 개선 방안1,골프,0.1283828400096883
신주인수권부사채와 전환사채의 차별적인 발행동기 및 시장반응에 관한 연구: 한국 상장기업을 대상으로1,전환사채,0.12533242129044983
디파이(De-Fi) 기술의 이해와 활용 -금융 서비스를 중심으로-1,디파이,0.12379773858077085
전자지급결제대행업의 법적 지위와 책임에 대한 검토 -신용카드PG에 관하여-1,대행업,0.12316932366411719
모바일 디바이드 세대 격차 결정요인에 관한 연구1,그룹,0.11779383222019268
신주인수권부사채와 전환사채의 차별적인 발행동기 및 시장반응에 관한 연구: 한국 상장기업을 대상으로1,신주인수권,0.11279917916140486
현금 없는 사회의 진전과 금융제도의 기본방향 -일본의 경험을 비교하여-1,무현금,0.11082083580969501
인공지능의 상행위능력과 법인격1,능력,0.11071034924513735
인도의 디지털 화폐 정책과 핀테크 발전 가능성 연구1,인도,0.1090310148611691
인공지능의 상행위능력과 법인격1,인공지능,0.10753084860205915
인공지능(AI)에 대한 법인격 부여와 법적 책임에 관한 연구 - FinTech 산업에서의 인공지능(AI)의 활용과 법적 책임을 중심으로 -1,인공지능,0.1016197961058056
오픈뱅킹 성공을 위한 핀테크기업의 지급결제시스템 접근성 향상방안1,참가,0.095887161691939
NFT의 거래 가능성 및 확장성에 대한 고찰 -대체거래소 연계를 중심으로-1,토큰,0.09537333396538675
미국 이원은행 제도의 역사적인 전개에 관한 고찰1,이원,0.0943613874071209
전자지급결제대행업의 법적 지위와 책임에 대한 검토 -신용카드PG에 관하여-1,법령,0.0923769927480879
인공지능의 상행위능력과 법인격1,상행위,0.09009043352165008
미국에서 암호화폐의 법률상 지위에 관한 검토1,암호,0.08565875582329073
모바일 디바이드 세대 격차 결정요인에 관한 연구1,만족도,0.08178996661291378
블록체인 관련 기술의 법적 쟁점에 관한 고찰 -스마트 계약과 토큰 활용을 중심으로-1,계약,0.08066415286686701
인공지능의 상행위능력과 법인격1,인간,0.07764328422810969
다양화하는 리테일 결제와 법: Fintech에 의한 다양화하는 리테일 결제 분야에서의 법 정비 상황과 과제1,테일,0.07737358661298178
NFT의 거래 가능성 및 확장성에 대한 고찰 -대체거래소 연계를 중심으로-1,달러,0.0769348170322687
지급결제시스템의 경제적 효과 분석 -금융서비스산업을 중심으로-1,생산,0.07635848244991121
공매도의 형평성·공정성 제고 방안에 관한 소고 - 핀테크 서비스 연계를 중심으로1,공매도,0.07330621378196703
미국에서 암호화폐의 법률상 지위에 관한 검토1,화폐,0.07231181988268698
신주인수권부사채와 전환사채의 차별적인 발행동기 및 시장반응에 관한 연구: 한국 상장기업을 대상으로1,발행,0.07176812738907568
가상자산거래 실명제에 관한 고찰 - 헌법재판소 2021.11.25. 선고 2017헌마1384 결정을 중심으로 -1,가상,0.07128134003214102
